Temp,Soc,C_1,R_0,R_1,Cluster
25,50,10559.43753027235,0.011183644552401,0.0114366681848086,0
25,50,11353.76818659667,0.0109139812755391,0.0117933067811514,0
20,50,11287.33397714935,0.0123120882506095,0.0130650119855937,0
20,60,10731.02860004959,0.01285330656738,0.0141359027270072,0
20,70,12065.836535483177,0.0131742247741974,0.0178044030995967,0
20,80,13983.937127126506,0.0137978680218596,0.0182241834345025,0
20,90,10262.743957199424,0.013955613994723,0.0171693314808563,0
25,100,10440.71857118356,0.0093261862413535,0.0105433323847887,0
25,90,9672.823520717637,0.0092381046985199,0.0092381046985199,0
25,80,9764.425136587364,0.01,0.0135204081632653,0
25,70,15997.60280125739,0.0106351108448173,0.0168264429798282,0
25,60,13348.35819636508,0.0109183673469388,0.0114285714285714,0
25,50,10559.43753027235,0.011183644552401,0.0114366681848086,0
25,100,13465.04481427267,0.0096721351631739,0.0114496308565459,0
25,90,13384.24266060351,0.0100510204081634,0.0100510204081632,0
25,80,11207.56935395526,0.0105199577188302,0.012785020385564,0
25,70,14928.74086674562,0.0099831131419489,0.0175821992649249,0
25,100,12070.18419390045,0.0095174237125917,0.0121072071361565,0
25,90,11673.16214786317,0.0094905863643358,0.0105165957010209,0
25,80,11099.55722865088,0.010641019082212,0.0132501151071775,0
25,70,14124.00444248848,0.0104193531748079,0.0183112394903801,0
25,100,9793.677787584984,0.0097902910450088,0.0114425023153482,0
25,90,8460.492369250172,0.0098979591836736,0.0102551020408161,0
25,80,9780.263826796334,0.0104919678714859,0.0129518072289156,0
25,70,14883.2046201811,0.0108320008252953,0.0177954299272708,0
25,100,8646.283026451794,0.0092104424485822,0.010959438819847,0
25,90,9207.004281846748,0.0094643679336982,0.0100271141351614,0
25,80,8098.610489046289,0.0098895582329316,0.0128012048192772,0
25,70,12852.09017379138,0.0103061224489795,0.0173469387755102,0
25,60,12453.85198348373,0.010545267489712,0.0113683127572016,0
25,50,11353.76818659667,0.0109139812755391,0.0117933067811514,0
30,60,13018.518124340131,0.0089323161021314,0.00899726918744,0
30,70,11737.192141239131,0.0095747534460116,0.0120616742569892,0
30,80,14645.13908265716,0.0094895679052415,0.0161688468874275,0
30,90,18951.891057538425,0.0098302848625104,0.011122313703434,0
30,100,13670.965302047392,0.0099510932096745,0.010634837778084,0
35,60,14460.293472285492,0.0082713950472565,0.0080592981056453,0
35,70,12783.8670427471,0.0087625146250091,0.0109381672953094,0
35,80,14273.495461817154,0.008633276756625,0.0147643998631439,0
35,90,20517.29727657161,0.0088306374260682,0.0098837334748379,0
35,100,14423.149979420636,0.0088902398967307,0.0095227489314197,0
40,100,18045.6025734578,0.0073634232329225,0.0089593413446507,0
40,90,18527.04020941781,0.0078101531991588,0.0072594372684491,0
40,80,14229.23562920368,0.0075401042457364,0.0101715500227721,0
40,70,15257.13660470276,0.0075815397140386,0.0138910090062585,0
40,100,10370.46331045858,0.0076225309765993,0.0078000702508864,0
40,90,12436.77144329751,0.0077341881646568,0.0066656490103292,0
40,80,11134.77221916058,0.0079656545802513,0.0093105053535407,0
40,70,12700.76549724157,0.0075704047643079,0.0130715655597052,0
40,100,16641.24843024756,0.00767968106332,0.0087177372422347,0
40,90,16742.39480797725,0.0072870806133293,0.0074388947927735,0
40,80,16127.61798440094,0.0083450685860324,0.0099619256245761,0
40,70,13747.65342098712,0.0081790123456791,0.0131172839506172,0
