r0,r1,c
0.003708136850982048,0.0033513536147871,35512.53027952307
0.003729124466276282,0.003280412196700872,35512.530295773184
0.00375791184075609,0.003231256210176147,35512.5303008863
0.0024511432141207765,0.004820619312800354,35512.53028565136
0.0026053690076766095,0.005196888453946085,35512.530314573574
0.0036679802676026496,0.002994793648639232,35512.53028328699
0.003763036894797237,0.0035309081176446294,35512.530286495545
0.003625473149698772,0.002933302732175099,35512.53027922179
0.003530741639652646,0.002891202622285222,35512.53023055084
0.0037172086187296604,0.0032936985369854087,35512.530275958205
0.003828438005483147,0.003385885131006287,35512.530281238985
0.003473094069833246,0.0031744610153731437,35512.530282344145
0.00371318258434098,0.0033533753026598503,35512.53024522189
0.004015080833344417,0.003181915453766137,35512.530285067645
0.003803103946001118,0.0036431933639578702,35512.53027865356
0.002542009404427109,0.004877581386663479,35512.53030041351
0.0026400912635115986,0.005360996976684056,35512.53037073389
0.0034812734946275997,0.004238990043641213,35512.53031087189
0.003425999224750795,0.0027019842178029,35512.53029887509
0.003826082848657999,0.0030081849411589673,35512.53027627938
0.003869790580954214,0.0035761780520032886,35512.53031455611
0.003512871750701431,0.003015633914222053,35512.53022174464
0.003830982207575299,0.003454630671611558,35512.530191070146
0.0038413220374708037,0.0033361971530343464,35512.53028267891
0.0036286085426299334,0.0034942575395019403,35512.53025260175
0.003814013242833181,0.0033987729487931786,35512.53021519839
0.002447404071910156,0.005025882053942518,35512.53028352943
0.004918851631082284,0.017215097811336132,193982.01947003437
0.0027620596528843454,0.005629180905996537,35512.53036109956
0.0035204657992260967,0.0032119678505975902,35512.53018656958
0.004190698695970536,0.003341880710965835,35512.530281249616
0.004096929359820616,0.0034103245518776223,35512.53027806491
0.0026364660781450465,0.004998531665578469,35512.53026540104
0.0027419799647325177,0.005291177102649623,35512.53048441059
0.003504072923375751,0.004473626947627164,35512.53028834721
0.003197688684167631,0.0036030416255943666,18475.00285810755
0.0037257526046482786,0.004057572929194675,35512.530286725676
0.0038873709921890824,0.0029697909726083055,35512.530280625855
0.003969836807962322,0.0035558049248750794,35512.53028419309
0.004041566263968027,0.003474940132159697,35512.53028447247
0.002635836324546624,0.005162788314992806,35512.53035639991
0.0027996663963895576,0.005523550878364715,35512.530452374485
0.0035425532515459216,0.004519354268307456,35512.53028995425
0.003694985642243883,0.002823607279263721,35512.53027670989
0.004000781700176839,0.003724013067473932,35512.53028376249
