I,SoC,V
-19.1,43,546.7
-18.8,43,546.6
-19,43,546.6
-19,43,546.2
-19,43,546.2
-19,43,546.2
-19,43,546
-19,43,546
-18.9,43,545.8
-18.8,43,546.2
-19.1,43,545.4
-18.9,43,546
-18.9,43,546.7
-18.9,43,546.2
-19,43,546.6
-19,43,546
-19,43,546
-19,43,546.2
-18.9,43,545.4
-19.1,43,546
-19,43,546.2
-19,43,546.2
-19,43,545.4
-18.9,43,546.2
-18.9,43,546.2
-18.9,43,546
-19.1,43,545.4
-19,43,546
-19,43,546.2
-18.8,43,546
-19,43,546.2
-19,43,545.8
-18.9,43,546
-18.8,42,546.6
-18.9,42,546.2
-18.9,42,546.2
-19,42,545.8
-19,42,546.4
-18.9,42,546
-18.9,42,546
-19.1,42,545.4
-18.8,42,545.8
-18.8,42,545.8
-18.9,42,546
-18.7,42,545.3
-18.7,42,545.3
-18.5,42,545.3
-18.6,42,545.8
-18.5,42,546.2
-18.5,42,546.2
-18.6,42,546
-18.6,42,545.1
-18.6,42,545.1
-18.6,42,546.2
-18.5,42,545.3
-18.6,42,545.8
-18.7,42,545.3
-18.6,42,545.3
-18.6,42,545.3
-18.6,42,545.3
-18.5,42,545.3
-18.7,42,546
-18.7,42,545.4
-18.7,42,545.4
-18.5,42,545.3
-18.7,42,545.3
-18.5,42,546
-18.5,42,545.8
-18.5,42,545.3
-18.7,42,546
-18.7,42,546
-18.5,42,545.3
-18.6,42,545.3
-18.8,42,545.4
-18.5,42,545.1
-18.5,42,544.7
-18.7,42,545.3
-18.5,42,546
-18.5,42,546
-18.6,42,545.8
-18.7,42,545.4
-18.7,42,544.9
-18.5,42,545.1
-18.6,42,544.9
-18.5,42,545.3
-18.6,42,544.7
-18.7,42,545.1
-18.6,42,544.7
-18.5,42,545.1
-18.6,42,545.1
-18.6,42,544.7
-18.6,42,544.7
-18.5,42,545.3
-18.7,42,545.3
-18.7,42,545.3
-18.7,42,544.7
-18.5,42,546
-18.7,42,544.7
-18.5,42,544.9
-18.5,42,544.9
-18.7,42,545.4
-18.6,42,544.5
-18.7,42,545.1
-18.5,42,544.9
-18.6,42,545.1
-18.5,42,544.7
-18.7,42,545.3
-18.7,42,544.9
-18.7,42,545.1
-18.7,42,544.5
-18.7,42,544.7
-18.7,42,545.3
-18.6,42,545.1
-18.6,42,545.1
-18.6,42,545.3
-18.6,42,544.7
-18.5,42,544.7
-18.7,42,544.7
-18.5,42,545.4
-18.5,42,544.7
-18.7,42,544.7
-18.7,42,544.7
-18.5,41,544.5
-18.5,41,544.5
-18.6,41,545.3
-18.7,41,544.7
-18.6,41,543.6
-18.7,41,545.1
-18.8,41,544.9
-18.6,41,544.7
-18.6,41,543.2
-18.7,41,544.7
-18.6,41,543.6
-18.6,41,544.7
-15.3,41,544.9
-15.1,41,544.7
-15,41,544.7
-15,41,545.1
-15.1,41,545.1
-15.2,41,545.3
-15.2,41,545.3
-15.1,41,544.7
-15.2,41,544.9
-15.2,41,544.9
-15.2,41,544.9
-15.2,41,544.7
-15.3,41,544.7
-15.2,41,545.3
-15.2,41,545.1
-15.2,41,544.7
-15.2,41,544.7
-15.2,41,544.7
-15.2,41,545.4
-15.2,41,545.4
-15.3,41,545.1
-15,41,545.4
-15.1,41,544.5
-15.1,41,544.5
-15.2,41,545.3
-15,41,545.1
-15,41,545.1
