Temp,Soc,C_1,R_0,R_1
30,50,13001.023274764142,0.008855236167453392,0.010408609954750498
30,60,13018.518124340133,0.008932316102131488,0.008997269187440015
30,70,11737.192141239133,0.00957475344601165,0.01206167425698923
30,80,14645.139082657159,0.009489567905241575,0.016168846887427535
30,90,18951.891057538425,0.009830284862510466,0.011122313703434068
30,100,13670.965302047392,0.009951093209674513,0.010634837778084072
35,50,14010.064023076062,0.00820522396253368,0.00945049645033724
35,60,14460.293472285493,0.00827139504725659,0.00805929810564533
35,70,12783.867042747099,0.008762514625009198,0.010938167295309461
35,80,14273.495461817154,0.008633276756625079,0.014764399863143948
35,90,20517.297276571615,0.008830637426068225,0.009883733474837912
35,100,14423.149979420637,0.008890239896730738,0.009522748931419796
40,100,18045.6025734578,0.007363423232922513,0.00895934134465078
40,90,18527.04020941781,0.007810153199158847,0.00725943726844914
40,80,14229.23562920368,0.007540104245736418,0.01017155002277215
40,70,15257.13660470276,0.007581539714038616,0.01389100900625857
40,60,27306.61504260833,0.007611508601004647,0.009336783883899176
40,50,14808.43219271184,0.007818930041152316,0.00859053497942395
40,100,10370.46331045858,0.00762253097659938,0.007800070250886441
40,90,12436.77144329751,0.007734188164656848,0.006665649010329224
40,80,11134.77221916058,0.007965654580251379,0.009310505353540749
40,70,12700.76549724157,0.007570404764307993,0.01307156555970528
40,60,18562.87706111831,0.007827288074896336,0.008185399294009318
40,50,14402.79034296434,0.007695070025137338,0.00851587749448522
40,100,16641.24843024756,0.007679681063320015,0.008717737242234739
40,90,16742.39480797725,0.00728708061332938,0.007438894792773566
40,80,16127.61798440094,0.008345068586032449,0.009961925624576174
40,70,13747.65342098712,0.008179012345679141,0.01311728395061723
40,60,20378.6183830878,0.008054173292976969,0.00841327656081678
40,50,16314.78143470547,0.007974159685071225,0.008125567780357392
