3
"{'r0': 0.001, 'rc': 0.001, 'c': 100000.0}"
"{'r0': 0.026776469853845866, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.026064018136011814, 'rc': 0.001, 'c': 10.0}"
"{'r0': 0.001, 'rc': 10.0, 'c': 3457.9225476000715}"
"{'r0': 0.001, 'rc': 0.001, 'c': 100000.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 100000.0}"
"{'r0': 0.001, 'rc': 0.001, 'c': 100000.0}"
