r0,r1,c1
0.0021978138785408,0.0024798304568691,22966.77861303526
0.002197969722732562,0.002479703477734671,22968.63029393431
0.0028954144379937517,0.00185775515674397,49281.38586335063
0.0022024554254898117,0.0024753835688405535,23065.113487927683
0.0021823453737429117,0.00249246532993777,22332.349114932087
0.002197606163020663,0.002481143934546699,22927.54185615755
0.0021977984878934374,0.0024802886249812033,22943.69267779398
0.0022420538015679443,0.002437456460896663,23978.93124382933
0.002199639256206768,0.0024779338803128095,23016.11255707349
0.0021977732971101838,0.0024798750975614974,22971.88829517619
0.0022018661704015213,0.002476280965694403,23063.829399326012
0.0022135513202548945,0.0024619401834043413,23328.02351518057
0.002197869772531447,0.0024797801920757607,22967.86598923002
0.002198261079736716,0.002479676791787387,22973.104361390513
0.002200034791425017,0.0024776958302619315,23015.683029351443
0.00219726732847269,0.0024805077680112374,22957.734708891607
0.002194601003189116,0.0024816576298110305,22884.989447720418
0.002199336104136731,0.002476386371325924,23305.730472712883
0.0021988723453359193,0.0024789529333995725,23026.350258691546
0.002200741729772635,0.002476215194929706,23034.904970989588
0.002200784827426821,0.0024772006227619034,23038.603730257037
0.002198778877480316,0.0024794056557453574,22992.920275758384
0.0022021600563125166,0.0024759011064347785,23049.43977154284
0.002195832031686457,0.0024813556788911236,22869.654224583817
0.0021966068599746217,0.0024809824497968283,22932.882238646052
0.002198172448542159,0.002479454686551752,22966.179165198344
0.002199091755847277,0.0024787666604596872,22988.06810308738
0.002194478173296454,0.002479679578477126,22854.704104020275
0.0021995765774363374,0.0024783120124997064,22992.98731189625
0.0025395182318440324,0.0021723878095726277,32764.77473230409
0.0022010468201454597,0.002476950969726668,23023.890406670675
0.002191343185410539,0.0024861192089499677,22669.12692095326
0.0021842371931293683,0.002495647270002228,22728.01495103553
0.0021978666236282586,0.0024794647641270696,22977.220017110187
0.0022010957501147265,0.00249031577076841,23132.004997914053
0.0021913648487310207,0.00248655846782622,22872.82585090057
0.002193863525408694,0.002483037533214691,22863.219785788464
0.0021981416177899826,0.002479558656694233,22974.300854420944
0.002200672989383324,0.002477102207177561,22999.882818042046
0.0021998609061402237,0.002479253392203512,23036.28949291505
0.002204068114732563,0.002473439653161524,23055.939080760898
0.0028919297018224115,0.0018601593759060568,48983.30593416503
0.002211316745107691,0.002461559591505784,23255.565439221416
0.0021651843599606374,0.0025124115253219157,22480.0570028686
0.002197450792979661,0.002480506193420756,22940.807312353954
0.002200750356069057,0.0024728451848470808,22634.373460706414
0.0021957615420083562,0.002481664790429224,22898.872531885692
0.0020470520130260856,0.0026153372449138775,19931.671837612557
0.0021983063906634444,0.002479387074317251,22978.08210472183
0.002201970669677801,0.0024756280919270186,23054.720072906737
0.0021961846078036836,0.002478758919318735,22910.384260572588
0.0021953302660183754,0.0024836565747862753,22846.217258356563
0.002397715240354069,0.002217733276139701,30508.023103566753
0.0021983654082733026,0.002478543334753242,22954.341723543028
0.002200654500715611,0.00247747073550625,23008.037846992076
0.0021969838397915137,0.002480620507002792,22933.925555569887
0.0021289800127522176,0.0025415312809309253,21445.911381249538
0.002198280698916672,0.0024794404047216324,22966.5314886278
0.002146393960570737,0.002525910398539899,21854.058494733516
0.0021966426275536904,0.0024802020806614184,22929.928409694556
0.0022043139450448855,0.0024751393154494113,23222.271614313333
0.0022155600076638605,0.002460417609424148,23281.041046899536
0.0022216239812966245,0.002455734496925428,23474.687178096763
0.0022021089692807498,0.0024743529047106926,23055.897453494475
0.0021974975243367633,0.002480156018092173,22955.581122025185
0.0022155552228964536,0.002463548147278328,23412.048731764033
0.0028953708281384063,0.001858240165949667,49293.359810058224
0.0021610515786697464,0.002514620078077065,22457.924167963403
0.0022031848307428386,0.0024722363534338465,23004.61897670443
0.002208658117260032,0.0024744784714779543,23250.373488334855
0.002197288308636917,0.002480503920640431,22950.955826868027
0.0022017760263555596,0.0024763546706836367,23061.605429963263
0.0021929534772202565,0.0024869263107608628,22821.0419247454
0.00219898181124266,0.0024788523706955,22988.904362683115
0.0021972765284555833,0.0024803893649838794,22952.063180273002
0.002178783268177523,0.00249917963173805,22649.68978746638
0.0022027642683991096,0.002475644572595456,23056.604588058977
0.0021953646365983257,0.002482889169681758,22944.43125987674
0.0021992071539033743,0.0024781800416641343,23005.351300020655
0.00219754301962364,0.002480054229516524,22950.23298377886
0.002197280886943283,0.0024783076903551883,22936.445371099002
0.002195549160852725,0.0024817174000447886,22827.39843277902
0.002200311228065836,0.0024757612907528492,23023.16686627467
0.0021982890900159773,0.0024785715788478878,22961.717657248293
0.0021968075756973906,0.002484186721101232,22942.815692001517
0.002200786884752057,0.002477670078921206,23073.567030006983
0.00219824022353656,0.002479268799947352,22955.34850015731
0.002186278446364519,0.002489314954474053,22779.350120956315
0.002200245995935856,0.0024772963038545513,23032.510524884667
0.0021951511924743657,0.0024813941092528577,22877.025867968652
0.0021978749995535374,0.002480632829938653,22982.711166211124
0.0021968156034790085,0.002480582419380091,22946.2529471135
0.0022021720908212417,0.0024759430293140546,23052.55220244394
0.002198969008171265,0.002476705295997873,22909.985986519012
0.0021960429111644825,0.002481768012691405,22939.86684279587
0.0021910304942301404,0.0024808467872262296,22574.53766043561
0.002193191150598852,0.0024798709282682282,22755.231643678744
0.002204465098499821,0.0024718508673651812,23095.25401550129
0.002149201917764055,0.002527039740118117,22336.041277412096
0.00219747031690227,0.0024800543100460476,22955.111653988708
0.002198507013110208,0.002480182776854769,22966.17912187573
