Soc,r0,r1,c,Temp,DBSCANclusters
100,0.001870151831851712,0.002545828245905974,39863.40616586586,40,3
90,0.002002603384399677,0.001949268437076213,42986.1671315798,40,3
80,0.001922979606295241,0.002731974308357255,32274.19685699652,40,3
70,0.001933547041164212,0.003711853244646179,38041.4313782462,40,3
60,0.00192824884558783,0.002542777049403866,60182.77689828384,40,3
50,0.002057613168724281,0.00232209498825886,42207.66434721699,40,3
40,0.002142857142857133,0.00273088954549261,41308.96715295068,40,3
30,0.002257104750179522,0.003223185622567404,53052.28101987008,40,3
20,0.002125506072874485,0.002498221967224823,39541.38651488951,40,3
10,0.002359700420642217,0.002256710161884112,30945.60249911212,40,3
0,0.002290722573577026,0.00430062394435804,41380.24202505534,40,3
100,0.001927103654798893,0.002314031268750524,32919.08011943972,40,3
90,0.001933547041164212,0.001836457973550476,32405.93530158999,40,3
80,0.002069001189675686,0.00249101979091304,31633.46512181689,40,3
70,0.001917835873624678,0.003606062039795854,34873.27523974404,40,3
60,0.00204634982350233,0.002200308204018175,54555.89145961296,40,3
50,0.00205201867336993,0.002252615963380111,40998.65777369482,40,3
40,0.002040816326530614,0.002864300325226998,37954.33097844359,40,3
30,0.002136969573623681,0.00324337102950778,55153.67609243206,40,3
20,0.002137078308655158,0.002405176946670751,36444.41523330977,40,3
10,0.002226720647773304,0.002716391518390648,58843.31781733204,40,3
0,0.002624406984960109,0.003959128006830182,45299.54416305099,40,3
100,0.001894407412594089,0.00242272445958933,35223.33271519416,40,3
90,0.0018217701533323,0.002003002063513226,36238.83716442944,40,3
80,0.002086267146508112,0.002645820735069138,37881.93647468436,40,3
70,0.002057613168724282,0.003567523306991727,36689.69482740312,40,3
60,0.00205201867336993,0.00225459429865682,52374.86362849007,40,3
50,0.002119713334006249,0.002169217554436886,42990.80719623152,40,3
40,0.002166400165059051,0.0028101516599911,39775.19093284487,40,3
30,0.002238843942400676,0.00314519597786489,51404.97240879054,40,3
20,0.002178423236514513,0.002581489941869353,47681.4451548907,40,3
10,0.002353302297027645,0.002510535666067182,44504.71083469722,40,3
0,0.002405983576546904,0.004421508554130482,41297.13269188368,40,3
100,0.001881941806475617,0.002528900344444124,40548.82007525599,40,3
90,0.001902473215179746,0.001999441875466634,40299.37317260111,40,3
80,0.001922979606295241,0.002681017430491761,34733.54786004061,40,3
70,0.002035312674909685,0.003663830865456519,39828.49950969335,40,3
60,0.002029735626934594,0.002487208932707818,64727.17771237989,40,3
50,0.002057613168724281,0.002268112605313344,46098.29483395613,40,3
40,0.002142857142857133,0.002776508663211108,39711.72999986238,40,3
30,0.002154509079716827,0.003270102965347355,51430.90850251768,40,3
