Soc,r0,r1,c,Temp,DBSCANclusters
100,0.002552980743054905,0.002916698760452331,30738.11180936496,25,2
90,0.002483361478096787,0.002520215279468885,27791.64417822576,25,2
80,0.00275510204081634,0.003578613885060977,27460.92317060638,25,2
70,0.002895945676053517,0.004522586495909198,44286.8864689695,25,2
60,0.002959183673469379,0.003081900858860842,34952.1942837618,25,2
50,0.003036283588887182,0.003132550918602761,32454.33745043835,25,2
40,0.003061224489795944,0.003941202398999866,34743.32938373168,25,2
30,0.003044603440401868,0.004616118166404726,42696.63417961395,25,2
20,0.003198019291277629,0.004061403484247772,31274.41638269514,25,2
10,0.003230039366104777,0.004467535956708901,25474.31920741773,25,2
0,0.00412723978256492,0.01034968761610655,12847.82671363416,25,2
100,0.00258207093498357,0.003114383767134331,33207.03378343909,25,2
90,0.002653061224489821,0.002660633422817749,33520.7463835145,25,2
80,0.002818744651935373,0.00345318206793721,29733.82714987257,25,2
70,0.002682030396344505,0.004775394135714151,37907.3345991355,25,2
60,0.002777777777777791,0.003570381979094317,44271.31955421535,25,2
50,0.002967207244078366,0.003126306990960281,37666.67544037771,25,2
40,0.003000051725029733,0.003740862088467467,35530.16559617369,25,2
30,0.003146090221748632,0.004458749241806559,43326.45303488622,25,2
20,0.003078028010054872,0.004108991870629741,36811.17854152919,25,2
10,0.003256334588378914,0.004394060419304791,28506.9069787718,25,2
0,0.004643181588775595,0.006430844360258647,17371.33551125345,25,2
100,0.002493488966555065,0.003316511627863966,30343.74297748377,25,2
90,0.002565023341712401,0.002772376944915167,30594.3364452313,25,2
80,0.002762572261728111,0.003598360175715354,28167.56044908438,25,2
70,0.002682209728168386,0.005007426398953574,36881.89237411688,25,2
60,0.00301674815354207,0.003401971844727458,49620.95035768863,25,2
50,0.002880658436213994,0.003265360088499647,33833.57473014447,25,2
40,0.003095017022593604,0.003768860063982804,36518.62220181558,25,2
30,0.003129258567607096,0.004450206284578484,44618.08955750497,25,2
20,0.003310230681700634,0.003937602710208377,40625.0188019218,25,2
10,0.003265306122448983,0.004380303805036179,26616.16419581857,25,2
