soc,r1,temp,soh
0,0.03350006118730724,25,1.0
10,0.016224396258633617,25,1.0
20,0.014544981444708668,25,1.0
30,0.016616939150043104,25,1.0
40,0.014045056852772677,25,1.0
50,0.01162330435096694,25,1.0
60,0.011981508085989042,25,1.0
70,0.017572450087582875,25,1.0
80,0.013061711140839972,25,1.0
90,0.01001758739673635,25,1.0
100,0.011300422302537316,25,1.0
0,0.04187507648413405,25,0.9
10,0.02028049532329202,25,0.9
20,0.018181226805885832,25,0.9
30,0.02077117393755388,25,0.9
40,0.017556321065965844,25,0.9
50,0.014529130438708675,25,0.9
60,0.014976885107486302,25,0.9
70,0.021965562609478594,25,0.9
80,0.016327138926049964,25,0.9
90,0.012521984245920437,25,0.9
100,0.014125527878171644,25,0.9
0,0.05025009178096085,25,0.8
10,0.02433659438795042,25,0.8
20,0.021817472167063,25,0.8
30,0.024925408725064654,25,0.8
40,0.021067585279159015,25,0.8
50,0.01743495652645041,25,0.8
60,0.017972262128983563,25,0.8
70,0.02635867513137431,25,0.8
80,0.019592566711259956,25,0.8
90,0.015026381095104523,25,0.8
100,0.01695063345380597,25,0.8
0,0.05862510707778767,25,0.7
10,0.02839269345260883,25,0.7
20,0.02545371752824017,25,0.7
30,0.029079643512575432,25,0.7
40,0.024578849492352187,25,0.7
50,0.020340782614192147,25,0.7
60,0.020967639150480825,25,0.7
70,0.03075178765327003,25,0.7
80,0.02285799449646995,25,0.7
90,0.017530777944288613,25,0.7
100,0.019775739029440305,25,0.7
0,0.06700012237461447,25,0.6
10,0.03244879251726723,25,0.6
20,0.029089962889417335,25,0.6
30,0.03323387830008621,25,0.6
40,0.028090113705545355,25,0.6
50,0.02324660870193388,25,0.6
60,0.023963016171978085,25,0.6
70,0.03514490017516575,25,0.6
80,0.026123422281679944,25,0.6
90,0.0200351747934727,25,0.6
100,0.02260084460507463,25,0.6
0,0.14744415061916843,10,1.0
10,0.04431778678275113,10,1.0
20,0.02855976039351178,10,1.0
30,0.026658291492464816,10,1.0
40,0.02224475378349347,10,1.0
50,0.01877419168006889,10,1.0
60,0.01819040190220046,10,1.0
70,0.02457859834143272,10,1.0
80,0.020183822357208944,10,1.0
90,0.014392637515680479,10,1.0
100,0.015701182707284503,10,1.0
0,0.18430518827396053,10,0.9
10,0.05539723347843891,10,0.9
20,0.035699700491889724,10,0.9
30,0.03332286436558102,10,0.9
40,0.027805942229366835,10,0.9
50,0.02346773960008611,10,0.9
60,0.022738002377750574,10,0.9
70,0.030723247926790896,10,0.9
80,0.025229777946511177,10,0.9
90,0.0179907968946006,10,0.9
100,0.019626478384105625,10,0.9
0,0.22116622592875262,10,0.8
10,0.0664766801741267,10,0.8
20,0.042839640590267666,10,0.8
30,0.03998743723869722,10,0.8
40,0.033367130675240206,10,0.8
50,0.02816128752010333,10,0.8
60,0.027285602853300686,10,0.8
70,0.03686789751214908,10,0.8
80,0.030275733535813414,10,0.8
90,0.021588956273520716,10,0.8
100,0.02355177406092675,10,0.8
0,0.2580272635835448,10,0.7
10,0.07755612686981449,10,0.7
20,0.049979580688645615,10,0.7
30,0.04665201011181343,10,0.7
40,0.03892831912111357,10,0.7
50,0.03285483544012056,10,0.7
60,0.031833203328850805,10,0.7
70,0.04301254709750726,10,0.7
80,0.03532168912511565,10,0.7
90,0.02518711565244084,10,0.7
100,0.02747706973774788,10,0.7
0,0.29488830123833687,10,0.6
10,0.08863557356550227,10,0.6
20,0.05711952078702356,10,0.6
30,0.05331658298492963,10,0.6
40,0.04448950756698694,10,0.6
50,0.03754838336013778,10,0.6
60,0.03638080380440092,10,0.6
70,0.04915719668286544,10,0.6
80,0.04036764471441789,10,0.6
90,0.028785275031360958,10,0.6
100,0.031402365414569006,10,0.6
0,0.016984404419854233,40,1.0
10,0.009655242781625191,40,1.0
20,0.009493765633729565,40,1.0
30,0.011769000914677674,40,1.0
40,0.010309665569430877,40,1.0
50,0.00841066008475552,40,1.0
60,0.008645153246241757,40,1.0
70,0.01335995283886036,40,1.0
80,0.009814660333629691,40,1.0
90,0.007121327023850643,40,1.0
100,0.008492382945923986,40,1.0
0,0.02123050552481779,40,0.9
10,0.012069053477031489,40,0.9
20,0.011867207042161956,40,0.9
30,0.014711251143347091,40,0.9
40,0.012887081961788595,40,0.9
50,0.0105133251059444,40,0.9
60,0.010806441557802197,40,0.9
70,0.01669994104857545,40,0.9
80,0.012268325417037113,40,0.9
90,0.008901658779813304,40,0.9
100,0.010615478682404983,40,0.9
0,0.025476606629781347,40,0.8
10,0.014482864172437784,40,0.8
20,0.014240648450594345,40,0.8
30,0.01765350137201651,40,0.8
40,0.015464498354146313,40,0.8
50,0.01261599012713328,40,0.8
60,0.012967729869362635,40,0.8
70,0.020039929258290536,40,0.8
80,0.014721990500444534,40,0.8
90,0.010681990535775964,40,0.8
100,0.012738574418885979,40,0.8
0,0.029722707734744908,40,0.7
10,0.016896674867844085,40,0.7
20,0.016614089859026737,40,0.7
30,0.02059575160068593,40,0.7
40,0.018041914746504035,40,0.7
50,0.014718655148322162,40,0.7
60,0.015129018180923076,40,0.7
70,0.02337991746800563,40,0.7
80,0.017175655583851958,40,0.7
90,0.012462322291738626,40,0.7
100,0.014861670155366977,40,0.7
0,0.033968808839708466,40,0.6
10,0.019310485563250383,40,0.6
20,0.01898753126745913,40,0.6
30,0.023538001829355348,40,0.6
40,0.020619331138861753,40,0.6
50,0.01682132016951104,40,0.6
60,0.017290306492483514,40,0.6
70,0.02671990567772072,40,0.6
80,0.019629320667259382,40,0.6
90,0.014242654047701286,40,0.6
100,0.016984765891847973,40,0.6
