soc,temp,r1,soh
0.0,10,0.018061059221317663,1.0
0.0,25,0.018228824016211374,1.0
0.1,10,0.016695260936650125,1.0
0.1,25,0.003815436569867575,1.0
0.1,40,0.003079666251436767,1.0
0.2,25,0.003619666168929541,1.0
0.2,40,0.0027286479944651208,1.0
0.3,10,0.005580046692361484,1.0
0.3,25,0.0035438875464629,1.0
0.3,40,0.0025575452709407174,1.0
0.4,10,0.00573710783243511,1.0
0.4,25,0.003531249295721041,1.0
0.4,40,0.0026386506399669134,1.0
0.5,10,0.0052422559208143635,1.0
0.5,25,0.003685949529983845,1.0
0.5,40,0.002718425485097207,1.0
0.6,10,0.0055787620329843576,1.0
0.6,25,0.003646780230914141,1.0
0.6,40,0.002548022463604427,1.0
0.7000000000000001,25,0.0041654948042404005,1.0
0.7000000000000001,40,0.0028050667486631503,1.0
0.8,10,0.00514027619816821,1.0
0.8,25,0.003810616663943816,1.0
0.8,40,0.002562178304618769,1.0
0.9,10,0.00559816564276525,1.0
0.9,25,0.0035824614165461625,1.0
0.9,40,0.002503692877509,1.0
1.0,25,0.003473801659513767,1.0
1.0,40,0.0030405345226382,1.0
0.0,10,0.022576324026647075,0.9
0.0,25,0.022786030020264216,0.9
0.1,10,0.020869076170812656,0.9
0.1,25,0.004769295712334469,0.9
0.1,40,0.003849582814295958,0.9
0.2,25,0.0045245827111619254,0.9
0.2,40,0.003410809993081401,0.9
0.3,10,0.006975058365451855,0.9
0.3,25,0.004429859433078625,0.9
0.3,40,0.0031969315886758963,0.9
0.4,10,0.0071713847905438876,0.9
0.4,25,0.004414061619651301,0.9
0.4,40,0.003298313299958642,0.9
0.5,10,0.0065528199010179535,0.9
0.5,25,0.0046074369124798065,0.9
0.5,40,0.0033980318563715086,0.9
0.6,10,0.0069734525412304465,0.9
0.6,25,0.004558475288642677,0.9
0.6,40,0.0031850280795055336,0.9
0.7000000000000001,25,0.005206868505300501,0.9
0.7000000000000001,40,0.0035063334358289375,0.9
0.8,10,0.006425345247710263,0.9
0.8,25,0.004763270829929769,0.9
0.8,40,0.003202722880773461,0.9
0.9,10,0.006997707053456563,0.9
0.9,25,0.004478076770682703,0.9
0.9,40,0.00312961609688625,0.9
1.0,25,0.004342252074392209,0.9
1.0,40,0.00380066815329775,0.9
0.0,10,0.02709158883197649,0.8
0.0,25,0.027343236024317055,0.8
0.1,10,0.025042891404975186,0.8
0.1,25,0.005723154854801362,0.8
0.1,40,0.00461949937715515,0.8
0.2,25,0.005429499253394311,0.8
0.2,40,0.0040929719916976805,0.8
0.3,10,0.008370070038542225,0.8
0.3,25,0.005315831319694349,0.8
0.3,40,0.0038363179064110756,0.8
0.4,10,0.008605661748652665,0.8
0.4,25,0.0052968739435815615,0.8
0.4,40,0.00395797595995037,0.8
0.5,10,0.007863383881221545,0.8
0.5,25,0.005528924294975767,0.8
0.5,40,0.00407763822764581,0.8
0.6,10,0.008368143049476535,0.8
0.6,25,0.005470170346371211,0.8
0.6,40,0.00382203369540664,0.8
0.7000000000000001,25,0.0062482422063606,0.8
0.7000000000000001,40,0.004207600122994725,0.8
0.8,10,0.007710414297252314,0.8
0.8,25,0.005715924995915723,0.8
0.8,40,0.0038432674569281533,0.8
0.9,10,0.008397248464147874,0.8
0.9,25,0.005373692124819243,0.8
0.9,40,0.0037555393162634993,0.8
1.0,25,0.005210702489270649,0.8
1.0,40,0.0045608017839573,0.8
0.0,10,0.031606853637305914,0.7
0.0,25,0.031900442028369905,0.7
0.1,10,0.02921670663913772,0.7
0.1,25,0.0066770139972682566,0.7
0.1,40,0.005389415940014342,0.7
0.2,25,0.006334415795626697,0.7
0.2,40,0.004775133990313962,0.7
0.3,10,0.009765081711632598,0.7
0.3,25,0.0062018032063100755,0.7
0.3,40,0.004475704224146256,0.7
0.4,10,0.010039938706761443,0.7
0.4,25,0.006179686267511822,0.7
0.4,40,0.004617638619942099,0.7
0.5,10,0.009173947861425136,0.7
0.5,25,0.006450411677471729,0.7
0.5,40,0.004757244598920113,0.7
0.6,10,0.009762833557722627,0.7
0.6,25,0.006381865404099747,0.7
0.6,40,0.0044590393113077475,0.7
0.7000000000000001,25,0.007289615907420701,0.7
0.7000000000000001,40,0.004908866810160513,0.7
0.8,10,0.008995483346794368,0.7
0.8,25,0.006668579161901678,0.7
0.8,40,0.004483812033082846,0.7
0.9,10,0.009796789874839189,0.7
0.9,25,0.006269307478955785,0.7
0.9,40,0.00438146253564075,0.7
1.0,25,0.006079152904149092,0.7
1.0,40,0.00532093541461685,0.7
0.0,10,0.036122118442635326,0.6
0.0,25,0.03645764803242275,0.6
0.1,10,0.03339052187330025,0.6
0.1,25,0.00763087313973515,0.6
0.1,40,0.006159332502873534,0.6
0.2,25,0.007239332337859082,0.6
0.2,40,0.0054572959889302415,0.6
0.3,10,0.011160093384722968,0.6
0.3,25,0.0070877750929258,0.6
0.3,40,0.005115090541881435,0.6
0.4,10,0.01147421566487022,0.6
0.4,25,0.007062498591442082,0.6
0.4,40,0.005277301279933827,0.6
0.5,10,0.010484511841628727,0.6
0.5,25,0.00737189905996769,0.6
