soc,r0,r1,c1,ocv,temp
1.0,0.005951394937953763,0.002942226833557993,10659.63644818458,4.174497210124092,0
0.9,0.005921361913240037,0.007728930690191871,7198.722593827441,4.01775727617352,0
0.8,0.005769557950781114,0.007483101548107496,8956.178016915097,3.913560884098438,0
0.7,0.005825669952044477,0.007140918324138101,8409.38382162777,3.815148660095911,0
0.6,0.0058297532221001,0.007192966860010919,7470.025430293875,3.7199404935557996,0
0.5,0.005916686655472928,0.007789981322664175,6617.542975294273,3.652466626689054,0
0.4,0.005894351621321661,0.008994914841668478,5326.965645747015,3.607811296757357,0
0.3,0.005820267341944452,0.01191251095784229,2796.826156026427,3.571659465316111,0
0.2,0.005448174861421446,0.02288056860252785,310.8953365299167,3.526203650277157,0
0.1,0.006402093414632933,0.02162216017254803,187.0069469068142,3.444295813170734,0
0.0,0.006696540204246983,0.02105072336520386,151.7301311287385,2.9869069195915063,0
1.0,0.004023736263869703,0.004000928257544676,15237.5586952359,4.191752527472261,10
0.9,0.004127214130461927,0.004892688987802152,11277.45607029086,4.075045571739077,10
0.8,0.004010922512177804,0.005063013395144478,15288.93389836773,3.9730781549756444,10
0.7,0.003981416724947541,0.004575082813457532,14187.03189171945,3.880537166550105,10
0.6,0.004068637006602784,0.00432066792061947,12810.88258382267,3.7869627259867946,10
0.5,0.004080938615881648,0.004632856063849444,12206.22716363075,3.7293381227682367,10
0.4,0.004137682897577368,0.005142369319887874,12575.26931397447,3.692924634204845,10
0.3,0.004166416581637753,0.00589325350428116,11482.92001150991,3.6664671668367244,10
0.2,0.004112796701757186,0.00727416183800178,6123.883917089725,3.617074406596486,10
0.1,0.004035464078369001,0.02021377126721668,278.0496591211945,3.5474290718432617,10
0.0,0.004414548033179025,0.02073290184752785,200.6013726876527,3.003770903933642,10
1.0,0.002983087638570778,0.003130844595079674,18725.53388742897,4.193833824722859,20
0.9,0.003035015175075863,0.003353104721213085,14918.58788179265,4.077429969649848,20
0.8,0.003036032250965316,0.003739473892835021,21049.03729691391,3.9738279354980697,20
0.7,0.002960014800073985,0.003359356921614487,21335.88459111153,3.8804799703998523,20
0.6,0.002991634411287294,0.002974712625322451,17151.73263024871,3.7847167311774257,20
0.5,0.003033301351243314,0.003183270946549688,17632.62542005829,3.7260333972975133,20
0.4,0.00309071086349862,0.003658633413687773,19926.21973188527,3.6886185782730028,20
0.3,0.00308361237443151,0.004050804669550545,20571.90143651804,3.659732775251137,20
0.2,0.003091406589998442,0.004095305508096447,15083.12242934773,3.607417186820003,20
0.1,0.003161074765420227,0.005110572811746317,6394.636556584668,3.5355778504691595,20
0.0,0.003273167026465186,0.01953833226002766,336.1303773247918,3.0026536659470695,20
1.0,0.002197813878540893,0.002479830456869154,22966.77861303526,4.195404372242918,30
0.9,0.002228751898936594,0.002447516297800489,17259.70861759216,4.079042496202127,30
0.8,0.002237985812768506,0.00291004075076684,24140.46479299896,3.975324028374463,30
0.7,0.002234497238121432,0.002807647088507115,33555.91017288352,3.8815310055237573,30
0.6,0.002270522220110619,0.002205256308144166,20859.50562493952,3.7843589555597785,30
0.5,0.00229104242430305,0.002435919125212682,22622.61180249321,3.725217915151394,30
0.4,0.002308188072363207,0.002861636232383558,26234.31423083442,3.6876836238552735,30
0.3,0.002341322847408772,0.003101178137573934,28125.50241699341,3.6572173543051827,30
0.2,0.002345539474079035,0.0028476244788328,20480.70591689081,3.603708921051842,30
0.1,0.00244528120733883,0.003008504372037701,13290.27868372794,3.5307094375853225,30
0.0,0.002597051670819939,0.006582941178095658,4305.460289008968,3.00220589665836,30
1.0,0.001776265393655463,0.002142303785258267,27669.42834366446,4.196047469212689,40
0.9,0.001801224832886364,0.001984741418981639,18261.15315383416,4.079897550334227,40
0.8,0.001812960419528042,0.00249000480874384,25167.56232621204,3.9756740791609437,40
0.7,0.001808779074124966,0.002443210691365105,47572.24345204759,3.88148244185175,40
0.6,0.0018200091000455,0.001753000587811804,24622.19318508872,3.783759981799909,40
0.5,0.001833762210507894,0.002069500675288105,26290.43297455814,3.7244324755789844,40
0.4,0.001870430198945751,0.002474248019881498,29443.60166142191,3.686859139602108,40
0.3,0.001885009425047129,0.002450859588420395,29959.93060461282,3.654129981149906,40
0.2,0.001893087981139052,0.002194847174526671,23534.54164721047,3.601013824037722,40
0.1,0.001957582385753601,0.002144319812462325,18880.66145001332,3.5281848352284926,40
0.0,0.002089770125286233,0.003450240425680984,15311.6194135472,3.0018204597494274,40
