soc,r1,temp,soh
0.0,0.0084201190130972,25,1.0
0.1,0.0044102617463386,25,1.0
0.2,0.0040503780039561,25,1.0
0.3,0.0045479310583933,25,1.0
0.4,0.0038292885307057,25,1.0
0.5,0.0031935481058786,25,1.0
0.6,0.0032951699156113,25,1.0
0.7,0.0047813481467287,25,1.0
0.8,0.0035804176553625,25,1.0
0.9,0.0026910820957255,25,1.0
1.0,0.0031357077043149,25,1.0
0.0,0.0105251487663716,25,0.9
0.1,0.0055128271829233,25,0.9
0.2,0.0050629725049452,25,0.9
0.3,0.0056849138229917,25,0.9
0.4,0.0047866106633822,25,0.9
0.5,0.0039919351323483,25,0.9
0.6,0.0041189623945142,25,0.9
0.7,0.0059766851834109,25,0.9
0.8,0.0044755220692032,25,0.9
0.9,0.0033638526196569,25,0.9
1.0,0.0039196346303936,25,0.9
0.0,0.0126301785196459,25,0.8
0.1,0.006615392619508,25,0.8
0.2,0.0060755670059342,25,0.8
0.3,0.00682189658759,25,0.8
0.4,0.0057439327960586,25,0.8
0.5,0.004790322158818,25,0.8
0.6,0.004942754873417,25,0.8
0.7,0.0071720222200931,25,0.8
0.8,0.0053706264830438,25,0.8
0.9,0.0040366231435883,25,0.8
1.0,0.0047035615564723,25,0.8
0.0,0.0147352082729202,25,0.7
0.1,0.0077179580560926,25,0.7
0.2,0.0070881615069233,25,0.7
0.3,0.0079588793521884,25,0.7
0.4,0.0067012549287351,25,0.7
0.5,0.0055887091852877,25,0.7
0.6,0.0057665473523198,25,0.7
0.7,0.0083673592567753,25,0.7
0.8,0.0062657308968845,25,0.7
0.9,0.0047093936675196,25,0.7
1.0,0.0054874884825511,25,0.7
0.0,0.0168402380261945,25,0.6
0.1,0.0088205234926773,25,0.6
0.2,0.0081007560079123,25,0.6
0.3,0.0090958621167867,25,0.6
0.4,0.0076585770614115,25,0.6
0.5,0.0063870962117573,25,0.6
0.6,0.0065903398312227,25,0.6
0.7,0.0095626962934575,25,0.6
0.8,0.0071608353107251,25,0.6
0.9,0.005382164191451,25,0.6
1.0,0.0062714154086298,25,0.6
0.0,0.0414755692103534,10,1.0
0.1,0.0122380672567858,10,1.0
0.2,0.0078169820404624,10,1.0
0.3,0.0072588739508205,10,1.0
0.4,0.006143433964214,10,1.0
0.5,0.0051805790106108,10,1.0
0.6,0.0049738680850642,10,1.0
0.7,0.0066839034148054,10,1.0
0.8,0.0055329664762714,10,1.0
0.9,0.0039919845640689,10,1.0
