soc,temp,voc
0.0,10.0,3.4852727272727275
0.0,25.0,3.4881428571428574
0.0,40.0,3.5
0.1,10.0,3.520866666666667
0.1,25.0,3.545428571428571
0.1,40.0,3.531833333333333
0.2,25.0,3.594315789473684
0.2,40.0,3.587344827586207
0.3,10.0,3.6328181818181817
0.3,25.0,3.6414285714285715
0.3,40.0,3.6397
0.4,10.0,3.6614074074074074
0.4,25.0,3.6702758620689657
0.4,40.0,3.671466666666667
0.5,10.0,3.696153846153846
0.5,25.0,3.706192307692308
0.5,40.0,3.707785714285714
0.6,10.0,3.7504137931034482
0.6,25.0,3.7600833333333337
0.6,40.0,3.764111111111111
0.7000000000000001,25.0,3.861
0.7000000000000001,40.0,3.861266666666667
0.8,10.0,3.9394
0.8,25.0,3.948230769230769
0.8,40.0,3.9491428571428573
0.9,10.0,4.038375
0.9,25.0,4.043636363636363
0.9,40.0,4.0442857142857145
1.0,10.0,4.054178571428571
1.0,10.0,4.041123
1.0,25.0,4.059746753246753
1.0,40.0,4.062321428571429
