soc,voc,temp
0.0,3.4850238095238097,10
0.05,3.5025833333333334,10
0.1,3.520142857142857,10
0.15,3.5518214285714285,10
0.2,3.5835,10
0.25,3.607809523809524,10
0.3,3.6321190476190477,10
0.35,3.64675,10
0.4,3.661380952380952,10
0.45,3.678797619047619,10
0.5,3.6962142857142855,10
0.55,3.723357142857143,10
0.6,3.7505,10
0.65,3.80025,10
0.7,3.8499999999999996,10
0.75,3.894940476190476,10
0.8,3.9398809523809524,10
0.85,3.989130952380952,10
0.9,4.038380952380952,10
0.95,4.046808248299319,10
1.0,4.0552355442176875,10
0.0,3.730285714285714,20
0.05,3.7529999999999997,20
0.1,3.741642857142857,20
0.15,3.775714285714286,20
0.2,3.718928571428571,20
0.25,3.7075714285714283,20
0.3,3.764357142857143,20
0.35,3.7870714285714286,20
0.4,3.9006428571428575,20
0.45,3.8097857142857143,20
0.5,3.821142857142857,20
0.55,3.8325,20
0.6,3.7984285714285715,20
0.65,3.843857142857143,20
0.7,3.8552142857142857,20
0.75,3.8665714285714285,20
0.8,3.8779285714285714,20
0.85,3.934714285714286,20
0.9,3.923357142857143,20
0.95,3.8892857142857142,20
1.0,3.9120000000000004,20
0.0,3.4774285714285713,25
0.05,3.508345238095238,25
0.1,3.5392619047619047,25
0.15,3.566595238095238,25
0.2,3.593928571428571,25
0.25,3.6174642857142856,25
0.3,3.641,25
0.35,3.655607142857143,25
0.4,3.6702142857142857,25
0.45,3.6880595238095237,25
0.5,3.705904761904762,25
0.55,3.7346071428571426,25
0.6,3.7633095238095238,25
0.65,3.811928571428571,25
0.7,3.860547619047619,25
0.75,3.903309523809524,25
0.8,3.946071428571429,25
0.85,3.9940833333333337,25
0.9,4.042095238095238,25
0.95,4.051710884353742,25
1.0,4.061326530612245,25
0.0,4.054259353741497,30
0.05,4.052985119047619,30
0.1,4.054117772108844,30
0.15,4.053976190476191,30
0.2,4.0538346088435375,30
0.25,4.053693027210885,30
0.3,4.053551445578232,30
0.35,4.0534098639455785,30
0.4,4.053268282312926,30
0.45,4.053126700680273,30
0.5,4.05440093537415,30
0.55,4.052843537414966,30
0.6,4.052701955782314,30
0.65,4.05256037414966,30
0.7,4.052418792517007,30
0.75,4.0522772108843546,30
0.8,4.052135629251701,30
0.85,4.051994047619048,30
0.9,4.0518524659863955,30
0.95,4.054684098639456,30
1.0,4.054542517006803,30
0.0,3.4632619047619047,40
0.05,3.4969642857142857,40
0.1,3.530666666666667,40
0.15,3.559,40
0.2,3.5873333333333335,40
0.25,3.6132857142857144,40
0.3,3.6392380952380954,40
0.35,3.6553452380952383,40
0.4,3.6714523809523807,40
0.45,3.689523809523809,40
0.5,3.707595238095238,40
0.55,3.736190476190476,40
0.6,3.7647857142857144,40
0.65,3.8131666666666666,40
0.7,3.8615476190476192,40
0.75,3.90475,40
0.8,3.9479523809523807,40
0.85,3.9960119047619047,40
0.9,4.044071428571429,40
0.95,4.054825680272109,40
1.0,4.065579931972789,40
