;0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95;1
0;1064933.784;833630.8477;699613.2044;692195.04;827614.8333;1030073.155;1185842.638;1243487.305;1233051.772;1185232.173;1110278.055;1013201.825;901993.1072;787160.2987;677807.4603;579179.9324;495119.1902;422126.1094;352694.0628;279275.8627;194324.3215
10;1482171.248;730974.8794;640773.2971;961413.1745;1442741.185;1834763.456;1981334.511;1978095.647;1938264.368;1866224.539;1739332.126;1562228.753;1352690.615;1134992.228;937719.5276;774876.0901;643205.317;535606.5122;439644.6045;342301.7715;230560.1907
20;76772.16815;153544.3363;1295076.709;2016325.867;2418975.297;2604708.487;2674974.308;2695675.717;2659466.197;2555177.971;2384327.084;2150680.865;1859049.488;1527261.434;1217118.966;983270.3792;812603.9383;676779.681;557688.8544;440342.3692;309751.8929
30;38386.08408;76772.16815;1575875.347;2659589.343;3145646.753;3254888.388;3208155.059;3180572.175;3139578.583;3010147.583;2795321.768;2514850.392;2156929.061;1720555.018;1310530.663;1038480.508;869886.228;730235.1769;595257.9561;458235.9872;312468.9248
40;2024986.602;1263366.571;1573382.819;2444400.674;3365785.466;3837110.833;3769410.163;3607123.206;3539365.642;3422379.564;3192622.351;2884063.214;2497601.871;2008954.557;1508224.153;1160365.324;963538.395;809453.6892;656270.2372;502082.3522;345481.702
