temp,soc,r0
0,1.00527650716982,0.00636833910903517
0,0.884427179478569,0.00615401535754279
0,0.763570103916885,0.00612285700004996
0,0.64269837952382,0.00614248158255115
0,0.521822067835873,0.00623034266884679
0,0.400941772416643,0.00626956113072085
0,0.280085126017317,0.00623987520249595
0,0.159236750473919,0.00623081000530069
0,0.0413944759033542,0.00617441343072408
0,0.0166400279885696,0.00635152436584779
10,1.00412809675212,0.00438874920647614
10,0.895451313173906,0.00415729775645829
10,0.786749311133431,0.00411855850452341
10,0.678048686292432,0.00408811946504609
10,0.569351633087478,0.00413824124746981
10,0.460649536235362,0.0041236185877731
10,0.351943989794545,0.00417718040322783
10,0.243242625090603,0.00422820301371917
10,0.134543669583673,0.00421862894559268
10,0.0258426499005023,0.00426244253447932
20,1.00922439514117,0.00317404778566432
20,0.906274501172037,0.00306293252054861
20,0.803324424977896,0.00303337714322836
20,0.700372097495603,0.00299290496652343
20,0.597415457941069,0.00299835090700115
20,0.494472833425631,0.00305362586835925
20,0.391516266280658,0.00307335575467126
20,0.288578089104924,0.00311320990430503
20,0.185628339468749,0.00306553009587933
20,0.082677425989023,0.00314272152689302
30,1.0070541420552,0.00230795745764997
30,0.906339854481501,0.00226333644771092
30,0.805625962167686,0.00224870699347875
30,0.704913571321091,0.00227301111527414
30,0.604206109732621,0.00224930271615801
30,0.503511263758556,0.00224368744284594
30,0.402812523553641,0.00229925274285856
30,0.302119467361737,0.00234798073656656
30,0.201413952476076,0.002379167291448
30,0.100703592156643,0.00239826126058608
40,1.00959128700669,0.00184868743192333
40,0.912184804380588,0.00183857510429419
40,0.81477258954618,0.00182842755230502
40,0.717362491380329,0.00180358418641366
40,0.619947178887816,0.00181836347287441
40,0.522540744176888,0.00182883868743348
40,0.425123805003304,0.00185858747352012
40,0.327719046863675,0.00186339747816878
40,0.230303505617446,0.00191388037997771
40,0.132889697244876,0.00197807138040411
40,0.0354800027867276,0.00203362730157145
