soc,c,temp,soh
0.0,13726.32982449184,25,1.0
0.1,26879.856835472525,25,1.0
0.2,35476.40307976723,25,1.0
0.3,43437.42909829856,25,1.0
0.4,36375.394408968314,25,1.0
0.5,34791.271554560226,25,1.0
0.6,43219.6482372692,25,1.0
0.7,41806.65172375007,25,1.0
0.8,28424.072223553972,25,1.0
0.9,29704.780124089542,25,1.0
1.0,31793.063640045755,25,1.0
0.0,11438.608187076534,25,0.9
0.1,22399.880696227105,25,0.9
0.2,29563.669233139364,25,0.9
0.3,36197.857581915465,25,0.9
0.4,30312.828674140263,25,0.9
0.5,28992.72629546686,25,0.9
0.6,36016.373531057674,25,0.9
0.7,34838.87643645839,25,0.9
0.8,23686.72685296165,25,0.9
0.9,24753.983436741284,25,0.9
1.0,26494.21970003813,25,0.9
0.0,9150.886549661229,25,0.8
0.1,17919.904556981688,25,0.8
0.2,23650.93538651149,25,0.8
0.3,28958.28606553238,25,0.8
0.4,24250.26293931221,25,0.8
0.5,23194.181036373488,25,0.8
0.6,28813.09882484614,25,0.8
0.7,27871.101149166716,25,0.8
0.8,18949.381482369317,25,0.8
0.9,19803.18674939303,25,0.8
1.0,21195.375760030507,25,0.8
0.0,6863.1649122459185,25,0.7
0.1,13439.92841773626,25,0.7
0.2,17738.201539883616,25,0.7
0.3,21718.714549149277,25,0.7
0.4,18187.697204484153,25,0.7
0.5,17395.635777280113,25,0.7
0.6,21609.8241186346,25,0.7
0.7,20903.325861875033,25,0.7
0.8,14212.036111776984,25,0.7
0.9,14852.39006204477,25,0.7
1.0,15896.531820022876,25,0.7
0.0,4575.443274830613,25,0.6
0.1,8959.952278490842,25,0.6
0.2,11825.467693255743,25,0.6
0.3,14479.143032766187,25,0.6
0.4,12125.131469656104,25,0.6
0.5,11597.090518186742,25,0.6
0.6,14406.549412423068,25,0.6
0.7,13935.550574583356,25,0.6
0.8,9474.690741184657,25,0.6
0.9,9901.593374696517,25,0.6
1.0,10597.687880015252,25,0.6
0.0,376.51778782877767,10,1.0
0.1,5479.362355418672,10,1.0
0.2,19677.999584961806,10,1.0
0.3,29565.71391728873,10,1.0
0.4,24856.72241923278,10,1.0
0.5,22635.799153920085,10,1.0
0.6,22060.383696945955,10,1.0
0.7,39146.315572100866,10,1.0
0.8,20142.347376353508,10,1.0
0.9,21981.119335842817,10,1.0
1.0,25613.56992956945,10,1.0
0.0,313.76482319064803,10,0.9
0.1,4566.135296182227,10,0.9
0.2,16398.332987468173,10,0.9
0.3,24638.09493107394,10,0.9
0.4,20713.935349360658,10,0.9
0.5,18863.16596160007,10,0.9
0.6,18383.653080788295,10,0.9
0.7,32621.929643417392,10,0.9
0.8,16785.28948029459,10,0.9
0.9,18317.59944653568,10,0.9
1.0,21344.641607974543,10,0.9
0.0,251.01185855251848,10,0.8
0.1,3652.908236945782,10,0.8
0.2,13118.66638997454,10,0.8
