temp,soc,r0,soh
0,0.0,0.0066965402042469,1.0
0,0.05,0.0054753472052937,1.0
0,0.1,0.0056332245383131,1.0
0,0.15,0.0057911018713326,1.0
0,0.2,0.0058452566390916,1.0
0,0.25,0.0058759083872198,1.0
0,0.3,0.0058980320096476,1.0
0,0.35,0.0059072723099607,1.0
0,0.4,0.0059165126102738,1.0
0,0.45,0.0058814054696997,1.0
0,0.5,0.0058454469898369,1.0
0,0.55,0.0058288013556423,1.0
0,0.6,0.0058271123274123,1.0
0,0.65,0.0058222803376459,1.0
0,0.7,0.0057990689532029,1.0
0,0.75,0.00577585756876,1.0
0,0.8,0.0058153161536143,1.0
0,0.85,0.0058781192463391,1.0
0,0.9,0.0059409223390639,1.0
0,0.95,0.0060037254317886,1.0
0,1.0,0.0060665285245134,1.0
10,0.0,0.004414548033179,1.0
10,0.05,0.0040526502212657,1.0
10,0.1,0.0040882214714774,1.0
10,0.15,0.0041204211225849,1.0
10,0.2,0.0041450855177626,1.0
10,0.25,0.0041646303641762,1.0
10,0.3,0.004151413564121,1.0
10,0.35,0.0041381967640658,1.0
10,0.4,0.0041125976662386,1.0
10,0.45,0.0040864976724694,1.0
10,0.5,0.0040764853988399,1.0
10,0.55,0.0040708269940643,1.0
10,0.6,0.0040440442590023,1.0
10,0.65,0.0040039234465775,1.0
10,0.7,0.0039873752076391,1.0
10,0.75,0.004000947248864,1.0
10,0.8,0.004025098369317,1.0
10,0.85,0.004078589388848,1.0
10,0.9,0.004132080408379,1.0
10,0.95,0.00418557142791,1.0
10,1.0,0.004239062447441,1.0
20,0.0,0.0032731670264651,1.0
20,0.05,0.0032053781108669,1.0
20,0.1,0.0031493523621489,1.0
20,0.15,0.0031155167345343,1.0
20,0.2,0.0030903185269324,1.0
20,0.25,0.0030865330803458,1.0
20,0.3,0.003084400015245,1.0
20,0.35,0.003087847953251,1.0
20,0.4,0.0030859802569094,1.0
20,0.45,0.003058099805061,1.0
20,0.5,0.0030310641815688,1.0
20,0.55,0.0030108262382716,1.0
20,0.6,0.0029908406575729,1.0
20,0.65,0.0029754848673343,1.0
20,0.7,0.0029601290770958,1.0
20,0.75,0.0029966588151606,1.0
20,0.8,0.0030335775778299,1.0
20,0.85,0.0030355711284121,1.0
20,0.9,0.0030350771628285,1.0
20,0.95,0.0030345831972449,1.0
20,1.0,0.0030340892316612,1.0
30,0.0,0.0025970516708199,1.0
30,0.05,0.0025216966312275,1.0
30,0.1,0.0024463415916352,1.0
30,0.15,0.0023964589298076,1.0
30,0.2,0.002346939827233,1.0
30,0.25,0.0023435051344103,1.0
30,0.3,0.0023414115913332,1.0
30,0.35,0.0023255669379346,1.0
30,0.4,0.002309113581418,1.0
30,0.45,0.002300153613716,1.0
30,0.5,0.0022916402758007,1.0
30,0.55,0.0022815686687091,1.0
30,0.6,0.0022713793665686,1.0
30,0.65,0.0022541408711412,1.0
30,0.7,0.0022362549164061,1.0
30,0.75,0.002236058986092,1.0
30,0.8,0.0022377909351688,1.0
30,0.85,0.0022339173964626,1.0
30,0.9,0.0022293331660154,1.0
30,0.95,0.0022247489355683,1.0
30,1.0,0.0022201647051211,1.0
40,0.0,0.0022562747952593,1.0
40,0.05,0.0020700660740589,1.0
40,0.1,0.0020022146449645,1.0
40,0.15,0.0019462542300495,1.0
40,0.2,0.0019131509125158,1.0
40,0.25,0.0018914545740599,1.0
40,0.3,0.0018873081329538,1.0
40,0.35,0.0018816744847451,1.0
40,0.4,0.0018741906480312,1.0
40,0.45,0.0018610667346626,1.0
40,0.5,0.0018422466050482,1.0
40,0.55,0.00182988515475,1.0
40,0.6,0.0018228255028372,1.0
40,0.65,0.0018165446143148,1.0
40,0.7,0.0018107806201166,1.0
40,0.75,0.001810180044858,1.0
40,0.8,0.0018123263035528,1.0
40,0.85,0.0018087164514769,1.0
40,0.9,0.0018026927784388,1.0
40,0.95,0.0017966691054006,1.0
40,1.0,0.0017906454323625,1.0
0,0.0,0.008370675255308624,0.9
0,0.05,0.006844184006617124,0.9
0,0.1,0.007041530672891374,0.9
0,0.15,0.007238877339165749,0.9
0,0.2,0.0073065707988645,0.9
0,0.25,0.007344885484024749,0.9
0,0.3,0.007372540012059499,0.9
0,0.35,0.007384090387450875,0.9
0,0.4,0.00739564076284225,0.9
0,0.45,0.007351756837124625,0.9
0,0.5,0.007306808737296124,0.9
0,0.55,0.007286001694552875,0.9
0,0.6,0.0072838904092653745,0.9
0,0.65,0.007277850422057374,0.9
0,0.7,0.007248836191503625,0.9
0,0.75,0.007219821960949999,0.9
0,0.8,0.007269145192017875,0.9
0,0.85,0.007347649057923875,0.9
0,0.9,0.007426152923829874,0.9
0,0.95,0.00750465678973575,0.9
0,1.0,0.007583160655641749,0.9
10,0.0,0.00551818504147375,0.9
10,0.05,0.005065812776582124,0.9
10,0.1,0.0051102768393467505,0.9
10,0.15,0.005150526403231125,0.9
10,0.2,0.005181356897203249,0.9
10,0.25,0.00520578795522025,0.9
10,0.3,0.00518926695515125,0.9
10,0.35,0.005172745955082249,0.9
10,0.4,0.00514074708279825,0.9
10,0.45,0.00510812209058675,0.9
10,0.5,0.005095606748549874,0.9
10,0.55,0.005088533742580375,0.9
10,0.6,0.0050550553237528745,0.9
10,0.65,0.005004904308221874,0.9
10,0.7,0.004984219009548875,0.9
