soc,dVoc_dT
1,0.00008
0.9,0.00006
0.8,0.00008
0.7,0.00005
0.6,0.0001
0.5,0.00018
0.4,0.00016
0.3,0.00008
0.2,-0.00005
0.1,-0.00016
0,-0.0007
