Time,DWell Time(ms),Voltage(V),Current(A),Capacity(Ah),Total Capacity(Ah),Power(W),KWh,Temperature
2023/11/28 12:14:23,10,4.1476,3.6374,0.0,0.0,15.0864719763993,0.0,34.4924
2023/11/28 12:14:24,1010,4.1497,4.0103,0.0012,0.0012,16.6416967292553,4.9e-06,34.4868
2023/11/28 12:14:25,2010,4.1499,3.8333,0.0023,0.0023,15.9079231370933,9.4e-06,34.4611
2023/11/28 12:14:26,3010,4.1499,3.7303,0.0033,0.0033,15.4805743416291,1.38e-05,34.494
2023/11/28 12:14:27,4010,4.15,3.6009,0.0043,0.0043,14.9439556321577,1.8e-05,34.5328
2023/11/28 12:14:28,5010,4.1499,3.5311,0.0053,0.0053,14.6535333628249,2.21e-05,34.4223
2023/11/28 12:14:29,6010,4.1499,3.4168,0.0063,0.0063,14.1793132033199,2.61e-05,34.5215
2023/11/28 12:14:30,7010,4.1499,3.3183,0.0072,0.0072,13.7705922593177,3e-05,34.4579
2023/11/28 12:14:31,8010,4.1499,3.2824,0.0082,0.0082,13.6217724336211,3.38e-05,34.498
2023/11/28 12:14:32,9010,4.1499,3.1905,0.009,0.009,13.2402595660096,3.76e-05,34.5584
2023/11/28 12:14:33,10010,4.15,3.124,0.0099,0.0099,12.9643646531256,4.12e-05,34.5024
2023/11/28 12:14:34,11010,4.1499,3.066,0.0108,0.0108,12.7236986795231,4.48e-05,34.5183
2023/11/28 12:14:35,12010,4.15,2.9968,0.0116,0.0116,12.436867929966,4.82e-05,34.4835
2023/11/28 12:14:36,13010,4.15,2.9418,0.0124,0.0124,12.2086928541612,5.16e-05,34.5617
2023/11/28 12:14:37,14010,4.15,2.874,0.0133,0.0133,11.9270086141257,5.5e-05,34.5837
2023/11/28 12:14:38,15010,4.15,2.837,0.014,0.014,11.7736848325626,5.83e-05,34.4535
2023/11/28 12:14:39,16010,4.15,2.8086,0.0148,0.0148,11.6557445141837,6.15e-05,34.5238
2023/11/28 12:14:40,17010,4.15,2.7153,0.0156,0.0156,11.2685204248858,6.47e-05,34.5704
2023/11/28 12:14:41,18010,4.15,2.6578,0.0163,0.0163,11.0298760777118,6.78e-05,34.5557
2023/11/28 12:14:42,19010,4.15,2.6454,0.0171,0.0171,10.9786134490266,7.09e-05,34.5931
2023/11/28 12:14:43,20010,4.1499,2.6211,0.0178,0.0178,10.8773318935195,7.39e-05,34.5201
2023/11/28 12:14:44,21010,4.15,2.5873,0.0185,0.0185,10.7370975461499,7.69e-05,34.5585
2023/11/28 12:14:45,22010,4.15,2.5262,0.0192,0.0192,10.4837363271434,7.99e-05,34.5384
2023/11/28 12:14:46,23010,4.1499,2.4838,0.0199,0.0199,10.3075663118721,8.28e-05,34.5786
2023/11/28 12:14:47,24010,4.1499,2.4818,0.0206,0.0206,10.2991319928551,8.56e-05,34.5175
2023/11/28 12:14:48,25010,4.15,2.4137,0.0213,0.0213,10.0167848276362,8.84e-05,34.5485
2023/11/28 12:14:49,26010,4.1499,2.4119,0.022,0.022,10.0092247201155,9.12e-05,34.5279
2023/11/28 12:14:50,27010,4.15,2.3456,0.0226,0.0226,9.73431027482093,9.4e-05,34.5588
2023/11/28 12:14:51,28010,4.15,2.3136,0.0233,0.0233,9.60154995965559,9.67e-05,34.5766
2023/11/28 12:14:52,29010,4.1498,2.2915,0.0239,0.0239,9.50947885736082,9.94e-05,34.5731
2023/11/28 12:14:53,30010,4.1499,2.2539,0.0246,0.0246,9.35343673659781,0.000102,34.5326
2023/11/28 12:14:54,31010,4.1499,2.2345,0.0252,0.0252,9.27288907177899,0.0001046,34.5338
2023/11/28 12:14:55,32010,4.15,2.2235,0.0258,0.0258,9.22733805147368,0.0001072,34.478
2023/11/28 12:14:56,33010,4.15,2.198,0.0264,0.0264,9.1215749762041,0.0001098,34.5225
2023/11/28 12:14:57,34010,4.15,2.1827,0.0271,0.0271,9.05792284911695,0.0001123,34.5539
2023/11/28 12:14:58,35010,4.15,2.1572,0.0277,0.0277,8.95236871990153,0.0001148,34.5452
2023/11/28 12:14:59,36010,4.15,2.1468,0.0283,0.0283,8.90918737087713,0.0001173,34.5909
2023/11/28 12:15:00,37010,4.1501,2.1098,0.0289,0.0289,8.75600326639324,0.0001197,34.5537
2023/11/28 12:15:01,38010,4.1499,2.0975,0.0294,0.0294,8.70425670866007,0.0001222,34.4817
2023/11/28 12:15:02,39010,4.1499,2.0458,0.03,0.03,8.49009338467113,0.0001246,34.6124
2023/11/28 12:15:03,40010,4.15,2.0569,0.0306,0.0306,8.53599616708368,0.000127,34.5327
2023/11/28 12:15:04,41010,4.1499,2.0542,0.0312,0.0312,8.52454773237218,0.0001293,34.6053
2023/11/28 12:15:05,42010,4.1499,1.9956,0.0317,0.0317,8.28136204394059,0.0001317,34.6037
2023/11/28 12:15:06,43010,4.1501,2.0041,0.0323,0.0323,8.31729318068562,0.000134,34.532
2023/11/28 12:15:07,44010,4.15,1.9656,0.0328,0.0328,8.15711284830911,0.0001363,34.4813
2023/11/28 12:15:08,45010,4.1499,1.943,0.0334,0.0334,8.06343114347749,0.0001385,34.5371
2023/11/28 12:15:09,46010,4.1499,1.9453,0.0339,0.0339,8.07281009163063,0.0001408,34.5014
2023/11/28 12:15:10,47010,4.15,1.9266,0.0345,0.0345,7.99536670297175,0.000143,34.5702
2023/11/28 12:15:11,48010,4.1499,1.9232,0.035,0.035,7.98113779601243,0.0001452,34.5887
2023/11/28 12:15:12,49010,4.1499,1.9261,0.0355,0.0355,7.99335974117639,0.0001474,34.4947
2023/11/28 12:15:13,50010,4.1499,1.8865,0.0361,0.0361,7.82864978397265,0.0001496,34.5604
2023/11/28 12:15:14,51010,4.1498,1.8434,0.0366,0.0366,7.64986414400994,0.0001518,34.5629
2023/11/28 12:15:15,52010,4.1501,1.8635,0.0371,0.0371,7.7335697659355,0.0001539,34.6076
2023/11/28 12:15:16,53010,4.15,1.8263,0.0376,0.0376,7.5790057774941,0.000156,34.4779
2023/11/28 12:15:17,54010,4.15,1.8195,0.0381,0.0381,7.55091868092978,0.0001581,34.5333
2023/11/28 12:15:18,55010,4.1499,1.8105,0.0386,0.0386,7.5133853795594,0.0001602,34.5922
2023/11/28 12:15:19,56010,4.15,1.7828,0.0391,0.0391,7.39856702466153,0.0001623,34.4962
2023/11/28 12:15:20,57010,4.15,1.8055,0.0396,0.0396,7.49297868693475,0.0001644,34.5141
2023/11/28 12:15:21,58010,4.15,1.7945,0.0401,0.0401,7.44710746384555,0.0001665,34.4918
2023/11/28 12:15:22,59010,4.1501,1.785,0.0406,0.0406,7.40803661954692,0.0001685,34.5339
2023/11/28 12:15:23,60010,4.1499,1.7357,0.0411,0.0411,7.20283379408704,0.0001705,34.5618
2023/11/28 12:15:24,61010,4.1499,1.7321,0.0416,0.0416,7.18795532598961,0.0001725,34.5443
2023/11/28 12:15:25,62010,4.15,1.7476,0.0421,0.0421,7.2525567612924,0.0001745,34.5965
2023/11/28 12:15:26,63010,4.15,1.7066,0.0425,0.0425,7.08233755066578,0.0001765,34.5439
2023/11/28 12:15:27,64010,4.15,1.7028,0.043,0.043,7.06639098332562,0.0001785,34.4519
2023/11/28 12:15:28,65010,4.1499,1.7046,0.0435,0.0435,7.07381927180813,0.0001805,34.5238
2023/11/28 12:15:29,66010,4.15,1.701,0.044,0.044,7.05896226154243,0.0001824,34.558
2023/11/28 12:15:30,67010,4.1499,1.6786,0.0444,0.0444,6.96617973572575,0.0001844,34.5759
2023/11/28 12:15:31,68010,4.1499,1.6665,0.0449,0.0449,6.91563441725521,0.0001863,34.5742
2023/11/28 12:15:32,69010,4.1499,1.6849,0.0453,0.0453,6.99244702230089,0.0001882,34.5286
2023/11/28 12:15:33,70010,4.15,1.6302,0.0458,0.0458,6.765270194837,0.0001901,34.5247
2023/11/28 12:15:34,71010,4.15,1.6387,0.0463,0.0463,6.80075466951416,0.000192,34.5004
2023/11/28 12:15:35,72010,4.1499,1.6683,0.0467,0.0467,6.92319259055751,0.0001939,34.4774
2023/11/28 12:15:36,73010,4.15,1.6207,0.0472,0.0472,6.72588733142902,0.0001958,34.497
