temperature,updated_temp
295.15,295.15
295.15027302312905,295.15
295.1505295688005,295.15050199682605
295.1507716719039,295.1509667135224
295.1510041305722,295.15139933743563
295.1512314770348,295.15181099288253
295.151448997257,295.15221190691034
295.15166150128647,295.15259182691585
295.1518690542977,295.152961427682
295.1520707289027,295.1533209277567
295.15226699719915,295.15366841012315
295.15245796368123,295.1540049788665
295.15264635696985,295.15433093923406
295.1528274219957,295.1546521214013
295.1530056834384,295.15495858065407
295.1531797098083,295.1552598555378
295.1533508325608,295.1555530074234
295.153520993192,295.1558408301608
295.1536864088478,295.15612734363907
295.1538465995495,295.15640479986854
295.1540071794441,295.1566722864305
295.1541642249467,295.1569412265986
295.1543201504049,295.1572036829888
295.1544705248087,295.15746454821937
295.1546186942005,295.1577149398507
295.15476454381775,295.1579615862213
295.1549099113235,295.15820427148725
295.15505187950146,295.1584466465481
295.1551915738345,295.1586829487154
295.15533090754036,295.158915413555
295.15546709425064,295.1591478014461
295.15560221599367,295.15937466033574
295.15573238477805,295.15960006245564
295.1558638988112,295.1598164716502
295.15599359353956,295.16003607717806
295.15611961345394,295.16025276882795
295.15624347634,295.16046298591294
295.156365808747,295.16066965274695
295.1564878181461,295.16087396726016
295.15660873474127,295.16107822553664
295.1567268802243,295.16128096408937
295.1568435877291,295.16147900519513
295.1569592472042,295.16167486948405
295.15707350605044,295.1618692889631
295.15718596628034,295.16206160001775
295.15729685090884,295.16225105735106
295.15740730075004,295.1624380768571
295.1575163834281,295.1626247777699
295.1576242487495,295.16280942576805
295.15773229143997,295.1629922958067
295.1578382338002,295.163175964752
295.1579452694298,295.1633562221796
295.15804938109864,295.1635389558525
295.1581516377876,295.1637167618444
295.1582545607362,295.1638916080314
295.15835675757273,295.16406810295325
295.1584561651509,295.16424369998236
295.1585558992607,295.16441463223714
295.1586550238412,295.1645865637762
295.1587516086133,295.1647577925115
295.1588486090505,295.1649248155635
295.15894695134165,295.1650929716556
295.15904172900724,295.1652639464589
295.1591350039073,295.16542886237477
295.15922822659286,295.16559143925105
295.15932070791524,295.165754273445
295.15941073051334,295.16591612710107
295.1594998543833,295.1660739286847
295.1595889179963,295.1662304522082
295.1596773707068,295.166387181884
295.1597670522535,295.1665431377736
295.15985435125015,295.1667015867153
295.15994124836726,295.1668561164115
295.16002877608133,295.16701022887673
295.1601138024022,295.16716574946696
295.16019905687483,295.16731714115684
295.16028175254905,295.1674692076473
295.1603654457046,295.1676170487105
295.1604475054716,295.16776689065154
295.1605285007168,295.16791412598883
295.16061045922703,295.1680597440167
295.16069094216095,295.168207278891
295.16077109534916,295.16835247604484
295.1608517410533,295.1684973252063
295.16093156113385,295.1686432568241
295.16101005745736,295.16878797525237
295.16108729373803,295.1689306100006
295.16116465974,295.16907126696714
295.1612420062611,295.1692123424595
295.16131859496403,295.1693535788023
295.1613955147088,295.16949369764257
295.1614712575887,295.16963457545313
