voltage,updated_voltage
3.76,3.76
3.856638482483551,3.76
3.8563250042043893,3.8656351205077786
3.8560482434122023,3.8651997456982765
3.855876876426575,3.864826776451624
3.8558096311651613,3.864650598576904
3.855626629469998,3.8646713500043215
3.8555564746496427,3.8644620145063886
3.855486154015638,3.864466529840184
3.8553910671494225,3.8644668521345307
3.85530544952976,3.864414972903432
3.8552203733402752,3.864377237486961
3.8552024442265433,3.864336479914192
3.8550625327816483,3.8644228926568966
3.855035799102164,3.8642686131752804
3.854971232729534,3.8643302174234098
3.8549397707352018,3.8643154137725424
3.8549580434037236,3.86436193523824
3.854877196967401,3.864503094791305
3.8547817532275057,3.8644492866739153
3.8548332154598723,3.8643633090947813
3.8547807993406558,3.8645603831196014
3.8547915837526476,3.864554080276096
3.8546834157218033,3.8646683755514113
3.854663275954951,3.8645489180459727
3.854639378618081,3.8645972876791492
3.854664693554184,3.8646362907284026
3.8546105637751995,3.864769357563828
3.8545860428222234,3.8647463200563026
3.8546133383839063,3.864778365819924
3.8545640094170444,3.86490961081734
3.8545711271226537,3.8648903733945237
3.8544700901592592,3.86497883054476
3.8545427490807067,3.8648547616055287
3.85452770657168,3.8650662750735605
3.854460155289081,3.8651068327267346
3.854433940894601,3.865043117809845
3.854424752076753,3.865057243897807
3.854449303915374,3.8651027260004294
3.8544520289222675,3.8652126509900113
3.8544067788475416,3.865279274262742
3.8543986263258585,3.865251000477612
3.854401230084136,3.8652929100229936
3.8543934639063746,3.865354443304359
3.8543738581349354,3.865394600175699
3.8543601337171234,3.865410276504191
3.8543789319520845,3.865435827640712
3.8543706779731597,3.8655234606075055
3.8543663854637638,3.8655575719983917
3.8544022824484077,3.865598121204671
3.8543720480443464,3.8657159936343524
3.85443422330671,3.8657044356269137
3.854379651413858,3.8658716263387096
3.85435532683038,3.8658111403476156
3.854404462143525,3.8658073940527977
3.854412962064115,3.8659455487390892
3.8543605471925666,3.8660044594436798
3.8543991995958526,3.865943544309133
3.8544103495147297,3.8660582929018914
3.8543642066642536,3.866119236484824
3.854404977257095,3.8660675280353254
3.8544732599093967,3.866183551238423
3.854396444721939,3.86635333465481
3.8543797338956884,3.8662403057122154
3.8544059479310486,3.86624192051019
3.85441157996686,3.8663260634604963
3.85436548968167,3.866369700234405
3.8543655232381258,3.8663115092702474
3.8543906003321755,3.8663414340733127
3.854399091633954,3.86641940443883
3.8544628797007996,3.866464696891607
3.854418149300884,3.8666173597438274
3.8544325513514632,3.866558661629234
3.854478096924752,3.866613564772278
3.8544290009436586,3.866728803608005
3.8544620100344003,3.866659379273148
3.8544102975075543,3.8667483571330696
3.8544662744621454,3.866671769976352
3.854442288380775,3.8668035312604934
3.854435185060068,3.866779594234719
3.8544898829209444,3.8667872724833225
3.8544702084247304,3.866914733774972
3.8544852470467728,3.8668974127250033
3.8545254403797444,3.8669466640487085
3.854525360863603,3.8670446450820357
3.854509731991086,3.867064132838578
3.854495650476921,3.8670524728101703
3.8545241272490984,3.867042703668965
3.85454805486216,3.8671149985148285
3.854549200888901,3.867178345767716
3.8545838081070185,3.8671970197371786
3.854571909544976,3.8672803625688705
3.854534786396773,3.867272941278075
3.8545950652991947,3.8672152307238545
3.8545452212022524,3.86734621828727
3.854570691162579,3.8672627879250596
3.8546163975623395,3.8673246165859867
3.8546092772716523,3.867425898916209
3.854557969378202,3.867424377163991
3.8546297697387133,3.867335671798855
3.8546479277017585,3.867485588792773
3.8676290356710394,3.8675317484593785
3.867879522377984,3.8692582748132143
3.867848553060416,3.868787628433086
3.867942540707361,3.8683831955607286
3.867534544746405,3.868185900900542
3.8672639151820385,3.8681956900622794
3.8676858739640316,3.867964333872762
3.8675370480872497,3.867957829244742
3.8675095067615333,3.867947189273409
3.8677075108166825,3.8678820399312244
3.867533382837996,3.86783203447001
3.8674523642098615,3.8677791414768135
