Soc,r0,r1,c,OCV,Temp,DBSCANclusters
80,0.00246365074052082,0.003912513652847582,31481.064879511632,3.944,25,1
50,0.002721004928768313,0.0035247754895035574,38530.608271459074,3.703,25,1
40,0.002965127538851991,0.003407461539505916,39123.97049528311,3.668,25,1
30,0.0033026562519709556,0.004190738657519479,43700.995012846804,3.638,25,1
50,0.0030097251022371424,0.003986273783286918,38024.027912078636,3.709,25,1
40,0.00258304993659707,0.004197639012890411,37055.89577406845,3.673,25,1
20,0.0032574044088115243,0.003286600110518431,29730.641043334348,3.6,25,1
90,0.00287200751050267,0.003275852822448732,40298.59935210654,4.047,25,1
80,0.002894744001567344,0.004659638015704055,40872.89598461321,3.95,25,1
50,0.0029914174584911558,0.0038235507385861903,37165.70829939564,3.708,25,1
40,0.003199681856905271,0.0038593172627002193,34346.474087484894,3.672,25,1
50,0.0030070997153567322,0.003546725023843241,30601.373838064304,3.704,25,1
30,0.0030457489577659764,0.0034589639782272984,24898.351109499425,3.638,25,1
20,0.002994080321265572,0.004836961859382386,37544.85086537517,3.588,25,1
80,0.0030991077618142634,0.0037870881451679992,31894.182795172346,3.951,25,1
50,0.002852408777295283,0.003800526220686757,32902.05364992723,3.71,25,1
40,0.002370740526616661,0.004035233192826347,28729.730018565868,3.673,25,1
30,0.0030096511156869617,0.003660526269749381,37828.53224735218,3.645,25,1
20,0.003121049579147301,0.0034489690108202888,32525.06264538692,3.601,25,1
90,0.0027359237672726217,0.0027410263763682696,27630.100810805834,4.047,25,1
50,0.003141235154298542,0.003493861635189525,39035.88749098699,3.709,25,1
40,0.003187027389666335,0.0032660661070816723,32785.457417336,3.673,25,1
30,0.003228093244608259,0.003323766645632783,43196.91065139213,3.645,25,1
60,0.003047336089251246,0.003994152596719365,35645.92329307334,3.756,25,1
50,0.00297999812594378,0.0035065720033987235,32679.66440480471,3.702,25,1
40,0.0027859381570471842,0.0034506170611425103,38730.39678365528,3.667,25,1
30,0.003179854085942542,0.0030311502797227357,37250.42641635623,3.636,25,1
80,0.0025622958387293707,0.0029111054868854614,35188.64016260541,3.945,25,1
50,0.0031376986124307875,0.002773073412315922,45679.643443789966,3.708,25,1
40,0.002832211002058433,0.004196819901274474,40682.80148971551,3.672,25,1
30,0.0028687493501622055,0.00365522495605751,37071.31266997305,3.644,25,1
20,0.0026636354134190656,0.0038059584067324124,31112.625238038498,3.599,25,1
10,0.0030228435883251164,0.004249005889078837,28890.091051952735,3.547,25,1
80,0.00271644888298966,0.0037719037669749823,31730.202318047108,3.945,25,1
50,0.002782277773001668,0.004513532292978195,34586.832780354576,3.707,25,1
40,0.002872747807182163,0.0033124900746836507,31217.47880795692,3.672,25,1
60,0.0029636553292974226,0.0033421341056339674,40668.441022335355,3.756,25,1
50,0.002915621629214997,0.003922595184740269,37472.51378042341,3.702,25,1
40,0.003113871099310422,0.004164229994827414,35192.5828635786,3.667,25,1
30,0.0029564631586372504,0.0030503924477743305,38445.727629279165,3.637,25,1
80,0.0029176966486297246,0.004024114716492169,34614.74681287146,3.946,25,1
50,0.002753643953717508,0.004150850705091617,34523.3411576973,3.708,25,1
40,0.0029768828987596025,0.003116118403244896,35046.44815522367,3.672,25,1
30,0.003015933210190613,0.0045123333274503675,36388.78028456257,3.644,25,1
20,0.00271148045601467,0.00361462299919777,34178.10917884087,3.599,25,1
100,0.0028399124159241597,0.004166309425005965,32593.50246349192,4.059107142857143,25,1
90,0.0028779402011752664,0.0034373694913245453,40779.57289050539,4.04,25,1
80,0.0028124555312162877,0.003454105946708274,28336.56446564434,3.945,25,1
70,0.0026640105940639682,0.004102633354577804,43172.712085922816,3.861,25,1
60,0.0031856470309329266,0.0028220352408762864,40008.9867637933,3.765,25,1
50,0.0031169371173415355,0.0034261934982948565,29994.2177211721,3.707,25,1
40,0.003285230473719105,0.0036125223070041933,34912.43381546532,3.672,25,1
20,0.002896153954935538,0.0033880663708729143,37467.552719291365,3.597,25,1
60,0.00260430705919866,0.0032395963134559877,40208.7702910752,3.759,25,1
50,0.002951376272588547,0.0031758975110536642,43597.62256640583,3.704,25,1
40,0.002822237461866418,0.0041073270542218805,31630.82298414992,3.669,25,1
30,0.002891570479026125,0.0032596864504139313,38614.10289530194,3.637,25,1
20,0.0026613378772014267,0.003606945017533666,36700.84735737853,3.588,25,1
80,0.003114534867985838,0.003911861982419059,40793.03400125435,3.951,25,1
50,0.0032475682950040712,0.003926313970811849,35745.85804879632,3.71,25,1
40,0.0031490133449639693,0.002566368563486972,31853.546412027852,3.674,25,1
30,0.0030505390646344555,0.0032996665152391887,28750.529763174232,3.646,25,1
20,0.0029244203014384576,0.0034774221444680603,36304.18846686937,3.601,25,1
10,0.003000447395686194,0.003799734603111756,37256.56170419014,3.549,25,1
90,0.0028812093193404924,0.0034423999044259504,32953.28796571631,4.047,25,1
80,0.0028081187012867132,0.0040573487412273734,30983.655848357204,3.951,25,1
50,0.0030092896022128816,0.003971568564500733,35057.50713229154,3.71,25,1
40,0.0031987478714428056,0.0033787845426706295,34069.75830116494,3.673,25,1
30,0.002892100819105405,0.003767341355257521,35311.18619441713,3.645,25,1
20,0.002698544677020089,0.003880872875041912,39594.47390636302,3.599,25,1
10,0.0033885771121524443,0.003686110008035619,33312.7111163026,3.545,25,1
60,0.00276654051723019,0.00424185360062283,33438.97742769275,3.759,25,1
50,0.0029724957593822094,0.004234679946048801,42967.85990439312,3.704,25,1
40,0.003103810719064142,0.004695308620221545,46140.23803466191,3.669,25,1
30,0.002305055641993546,0.003041464106760188,38908.59819158934,3.638,25,1
20,0.002678041139461084,0.0036265306792073937,36775.01918480746,3.588,25,1
80,0.0028354378318631557,0.004457888089060216,33812.57006849718,3.951,25,1
50,0.0027462431616323037,0.002813601468207156,29252.70769856315,3.71,25,1
40,0.00289145923358425,0.0036897152874059576,33556.74022168789,3.674,25,1
30,0.0028896642519571597,0.0037416179461390964,29585.32232892509,3.646,25,1
20,0.002932110481153489,0.003779201995963509,38287.87776529803,3.601,25,1
10,0.0032902219352302425,0.0034841102163944327,41583.03684545864,3.549,25,1
90,0.0030435889547694326,0.004143909584542814,33783.612647564616,4.047,25,1
80,0.002874960327765251,0.0023722192543800045,35876.38271116309,3.951,25,1
50,0.002923259344771222,0.00303847220877439,29697.8430755968,3.71,25,1
40,0.002990623495058737,0.0028022360138408873,35352.886506958006,3.673,25,1
30,0.002851175285893355,0.00372096577197708,39344.00516268254,3.645,25,1
20,0.003000735688689394,0.0033134261663560695,37183.43253590537,3.599,25,1
10,0.003071412356973258,0.003992906730383814,39206.04403548468,3.545,25,1
40,0.003206406716123623,0.0036298477964263843,35359.646289503245,3.666,25,1
80,0.003111932832642582,0.004006478618911596,34286.09185107799,3.946,25,1
50,0.002651807377641555,0.0039409007941214975,33080.651209639014,3.707,25,1
40,0.0030818856328597064,0.0033589006664205417,40000.21411522646,3.671,25,1
30,0.002866467088379935,0.003299246775833705,31328.117132126168,3.643,25,1
20,0.0029197265744421086,0.003906923245580315,29710.851219419186,3.598,25,1
10,0.002949565113343233,0.0036103985313097214,33550.98160059176,3.546,25,1
80,0.003097961038545282,0.003919812403886208,32815.333008209236,3.946,25,1
50,0.002746402262052421,0.004109521938280122,37307.47066413597,3.706,25,1
40,0.0029396102684252513,0.0025820055855771034,28510.632823870143,3.67,25,1
30,0.0026410785829609684,0.0031391254080976277,38338.40115203128,3.642,25,1
10,0.0028807222922330534,0.0036890479105032652,35893.23001618956,3.542,25,1
60,0.0025321799528025264,0.003849670425550926,32618.002345355257,3.755,25,1
50,0.003227043879349067,0.0041690693788895995,37388.041281442995,3.701,25,1
40,0.002961107912638325,0.0030006149576554705,40056.98493977307,3.666,25,1
30,0.0029061189729524,0.0033341931452950495,41878.35460902232,3.636,25,1
20,0.002624896563509531,0.003504992474268458,41383.40548128901,3.585,25,1
80,0.003049533016301899,0.003792480659924775,50886.10894383851,3.946,25,1
60,0.0031154312502320973,0.0032755736824447916,29842.15205620561,3.765,25,1
50,0.0029900213570177806,0.0038030934808444008,35165.75553813112,3.707,25,1
40,0.0028188945712114156,0.0029760975399945573,37460.01852845112,3.671,25,1
30,0.0030440172754301253,0.00395115822418311,26121.3632456628,3.643,25,1
20,0.003006108083080668,0.0026966675617290216,40134.55790436651,3.598,25,1
100,0.002744855408922741,0.0033715747756189584,30435.46226090148,4.060857142857143,25,1
90,0.0029535746269202506,0.003659299191524387,31176.79139672993,4.042,25,1
80,0.0029404247397160285,0.004277582775875889,39795.97822013218,3.946,25,1
70,0.0025980993634720354,0.004228356253903093,28138.88882256819,3.861,25,1
60,0.0028218459608740144,0.004421363110131462,27959.711151856292,3.765,25,1
50,0.0030284047147198134,0.004243201604908373,40564.818033702904,3.706,25,1
40,0.0029671382035926937,0.003995778773775072,33288.233094903335,3.671,25,1
30,0.0031243784095510273,0.00393128704325596,37535.29720628507,3.643,25,1
20,0.0031803735412005534,0.0034522296576110292,27241.930776283538,3.596,25,1
10,0.0027030725596605566,0.004012178670123444,33972.76422830987,3.542,25,1
60,0.0031950022507959584,0.0034318282785332326,29547.033173960706,3.754,25,1
50,0.0030003518991636993,0.0037247551910635753,36133.99703607223,3.699,25,1
40,0.0025650431802914,0.0041939545305329775,28189.87275469355,3.664,25,1
80,0.003038364772307672,0.00361331255020145,41604.03567350784,3.946,25,1
50,0.0027780041186910532,0.003882736761970883,42361.80848689567,3.705,25,1
40,0.0028697071665014897,0.0037238196211150034,37225.18274961166,3.669,25,1
30,0.0027596210638303614,0.0032034064231673412,37101.80504379355,3.641,25,1
90,0.002757830078594955,0.0045889470997120835,37761.16853642144,4.042,25,1
80,0.003022098824988032,0.002910041286971098,31860.426208604673,3.946,25,1
50,0.0028721966486524434,0.003544147231689288,35792.006218524875,3.704,25,1
40,0.0030179305445430745,0.003179437452871598,36818.43423954269,3.668,25,1
100,0.002762159942982922,0.002883520777916591,39349.37528672184,4.058285714285714,25,1
60,0.0031217128692262197,0.0037289702061009435,29960.884375380032,3.756,25,1
50,0.0031770626528397614,0.0040713336377370705,37783.81829988989,3.701,25,1
40,0.0026575797625156715,0.0032946721095710968,34540.163092486546,3.667,25,1
30,0.0030056116422774374,0.0026144912290419564,26439.94896320255,3.634,25,1
90,0.003072803567057345,0.003370886862022992,44308.048760109574,4.044,25,1
80,0.002787926961530784,0.004623096763986128,32885.56691652674,3.948,25,1
60,0.0033582984494379643,0.003950094757871351,37520.82496429537,3.766,25,1
50,0.0027103499820426424,0.002733111631618875,28299.19297119493,3.707,25,1
40,0.003094065017663744,0.004023886006699217,35712.82018256129,3.671,25,1
30,0.002911206615274525,0.004712265417344709,45939.73698538925,3.643,25,1
20,0.0028847372002010975,0.003907934296519353,25246.98445954759,3.597,25,1
80,0.0030267356719934587,0.0039391237573093135,32954.300117281244,3.948,25,1
60,0.003119426692770572,0.0034640904530292057,33128.72010046477,3.765,25,1
50,0.003086093549382354,0.0030416010610970295,39065.68932511097,3.707,25,1
40,0.003341235893125698,0.0025889595962431226,31642.276901747846,3.671,25,1
30,0.0030958722042020406,0.003610401194507599,42821.91591877088,3.642,25,1
