Soc,r0,r1,c,OCV,Temp,DBSCANclusters
40,0.002101329749732216,0.002848372001775641,40594.586483831954,3.672,40,2
30,0.0021860580004928313,0.0022554013104776607,41791.55027398184,3.639,40,2
20,0.0020118487491363837,0.002463452933673083,41755.608044534616,3.588,40,2
10,0.0020071337910150637,0.0034142414839904056,40076.31654068304,3.531,40,2
50,0.0020683870212173986,0.002636055462271001,44554.405082632285,3.709,40,2
40,0.0020952283393875955,0.002655163562028758,43960.19090508573,3.673,40,2
30,0.0021182631841815793,0.0032748262050728612,48289.88201350555,3.642,40,2
20,0.0020674894552504238,0.003034063414659782,54048.75301921746,3.589,40,2
40,0.002066446631895747,0.0025977088649760506,39569.04952631083,3.67,40,2
20,0.0021567145863831544,0.002763905695589082,34032.96619879769,3.585,40,2
80,0.0020819310941734195,0.002276543734497807,43612.04970702712,3.947,40,2
70,0.0020738534655749957,0.00253597258426839,41855.097231311345,3.86,40,2
50,0.002057705951195921,0.0027220929003353637,41686.236670024045,3.707,40,2
40,0.002011235564002076,0.0028844868503432194,45550.57054823228,3.671,40,2
30,0.002034917513612347,0.0015747903219205223,44060.467914515655,3.639,40,2
20,0.0020182066299293646,0.0025384672621679943,41907.680026430986,3.588,40,2
10,0.001954178598261893,0.002903252844758916,40107.37505365363,3.531,40,2
90,0.0019426751667796457,0.0025315760967269427,41183.43671953058,4.047,40,2
80,0.0020783221584414324,0.0026537031840057155,43202.481507468285,3.952,40,2
50,0.001965247005792292,0.002337177216958676,41011.968470583066,3.712,40,2
40,0.0021152216465682074,0.0021915248456704584,42106.28714258297,3.675,40,2
30,0.0021383086827784148,0.0031459628575687348,44073.69678721935,3.643,40,2
20,0.00203154996405294,0.0027443616978332958,49142.375520594775,3.591,40,2
70,0.001977742818658263,0.0029070402531115387,49911.30014217216,3.862,40,2
50,0.002182648357932951,0.0030000574309832395,45454.619948856336,3.708,40,2
40,0.002129310334393619,0.0021115209369626455,36495.794533488,3.672,40,2
30,0.0019702555083492917,0.002107978382970574,37619.64595790446,3.64,40,2
20,0.002127132240414694,0.0028981269146113177,47747.63977887866,3.587,40,2
80,0.0020378601196673904,0.002970510467999878,40757.36564725476,3.952,40,2
70,0.0021086000074144184,0.0031600130602817407,44203.13890303433,3.865,40,2
60,0.0019988527497962283,0.0027928499078490408,41618.896355587116,3.767,40,2
50,0.002134605644083647,0.0024795235309002807,38935.83648390787,3.71,40,2
40,0.002055086671814238,0.0021318999498956704,46229.02018900578,3.673,40,2
30,0.0021100259959328316,0.002330238880883282,41951.19602693968,3.64,40,2
20,0.002039012567114798,0.0019556777396616716,41711.52717006552,3.589,40,2
10,0.0019806841771444488,0.0031479166990966544,40741.06320749718,3.533,40,2
90,0.0020313521518248783,0.002354903886158045,41269.799858260456,4.047,40,2
80,0.0019705050033973033,0.0025244127566052496,51677.35233771062,3.952,40,2
50,0.002150564715796803,0.002250070026280542,46561.992460147594,3.712,40,2
40,0.0021081948345791357,0.002892480589671715,37572.869740024005,3.675,40,2
30,0.0020780125135989886,0.0024069041603883077,47357.31950586658,3.643,40,2
20,0.0019186989248140356,0.0019215337410549895,53016.3587440218,3.591,40,2
70,0.0020925876946621385,0.0028755156073333836,42676.796572777464,3.862,40,2
50,0.0021258069719873774,0.0030966834653065956,46414.414928867656,3.708,40,2
40,0.0021592077168127877,0.0029014949814608957,42106.899043094614,3.672,40,2
20,0.002051109278810995,0.0024838810460391355,56856.781513616304,3.587,40,2
80,0.0021088352411889597,0.0025964107373598407,38681.88260604929,3.952,40,2
70,0.0020318362777133852,0.002891124706917504,47024.6865520592,3.865,40,2
60,0.001953649815127554,0.002804341703448101,35015.776227128845,3.767,40,2
50,0.0020157100313021384,0.0030989160456305442,34538.279934250015,3.71,40,2
40,0.0020354606668675766,0.0018802756117935501,46720.17763459279,3.673,40,2
30,0.0020977897065014082,0.0026153475831664,44156.82333132919,3.64,40,2
20,0.0019962462595566875,0.002865911901385138,45982.41655565325,3.59,40,2
10,0.002056513735376511,0.00228570950273566,39078.74009726363,3.533,40,2
40,0.001962368558526651,0.00305922754471174,46563.961532587346,3.672,40,2
30,0.0020577185135001903,0.0029639359280721356,41969.724079184576,3.64,40,2
40,0.0020611348296839874,0.0023381361152312557,45184.86949580978,3.669,40,2
20,0.00210217874743155,0.0029305221561920915,26776.50981067156,3.584,40,2
80,0.002074167905038351,0.002311018357489294,43694.147115616695,3.947,40,2
70,0.002085351500750499,0.003284779401053715,39692.85458827998,3.86,40,2
50,0.002075279470938069,0.0031315600790205026,39421.06441640993,3.706,40,2
40,0.002167662714430311,0.002615692927211347,50653.21223059967,3.67,40,2
30,0.002071201320660227,0.0025478191503357016,49119.48089078237,3.638,40,2
20,0.002132421891445913,0.0030698687579880893,42248.368760493206,3.587,40,2
10,0.002218386518239833,0.0032458008757473918,37085.93235112744,3.53,40,2
80,0.001991906948259441,0.0026620952157923876,40407.49050727619,3.947,40,2
70,0.0019104905162155962,0.0025578837509138796,31750.200714661423,3.862,40,2
50,0.002129020678871965,0.0032646168634525644,47529.741975209734,3.708,40,2
40,0.0020527825187209277,0.0019464918572848799,45486.67799127527,3.672,40,2
30,0.0020202790089194037,0.0026190318033130658,56183.00476614588,3.641,40,2
20,0.002023145005888665,0.0031596953950692955,36756.63190376487,3.588,40,2
60,0.0020686130220683298,0.0025596503387547327,41019.67020914848,3.76,40,2
50,0.0020514548013081026,0.0031414510287543626,44665.65941671167,3.705,40,2
40,0.0020398323767797286,0.0034473479658131906,47346.904829158244,3.67,40,2
30,0.002124686203117357,0.0032361788438914404,47744.85377293378,3.637,40,2
20,0.0021427020599537787,0.00287649126974439,45285.3376900347,3.585,40,2
