Soc,r0,r1,c,Temp,DBSCANclusters
100,0.004189214102994021,0.004128197254759387,25799.90063674615,10,0
90,0.00439965212053002,0.004106991133226656,21499.72703471023,10,0
80,0.004795918367346909,0.005342536637619966,21614.68901837239,10,0
60,0.004965602855221646,0.005032679164738041,20629.94696790259,10,0
50,0.005101780521401996,0.005293215829573428,20595.14445512481,10,0
40,0.005439330543933059,0.006285080703493651,22088.57793882972,10,0
30,0.005918065404826266,0.006972019807509056,31288.32193764478,10,0
20,0.005730072649135332,0.00809674734002297,15945.87097270235,10,0
100,0.00380566985236296,0.004358968392493207,23200.41359876761,10,0
90,0.004183460027549653,0.003950337910715862,22252.60254916306,10,0
80,0.004435962242739996,0.005554467921082495,19222.27172439942,10,0
60,0.004848609893227437,0.004938451113014719,22818.31542202156,10,0
50,0.005013557067580695,0.005238005412802393,21849.07719433854,10,0
40,0.005206768799439276,0.006057945264923315,25978.24579572525,10,0
30,0.005510204081632635,0.007308686372883177,27778.47875364791,10,0
20,0.006632653061224485,0.007067684713633171,24717.00236851523,10,0
100,0.00403370564858341,0.003933801282314733,26185.61566318679,10,0
90,0.004160958035215951,0.003907140389108332,22239.07212576647,10,0
80,0.004448352557802689,0.005676728724233304,18706.03826925359,10,0
60,0.004965602855221646,0.005006168981443904,23330.84797991225,10,0
50,0.005452674897119336,0.005077367649686138,24378.07807982474,10,0
40,0.005248813969920263,0.006090140786699005,24694.23744314154,10,0
30,0.005597109856001645,0.007513264279693233,28566.81363521253,10,0
20,0.005962343096234303,0.008419658955293285,18272.81657949485,10,0
100,0.004156322709074069,0.00419009965507808,25444.47459827709,10,0
90,0.00439965212053002,0.004163050677041702,21038.18968855562,10,0
80,0.004795918367346909,0.005393419751239636,21191.91400712313,10,0
60,0.004862152795737874,0.005080360342319179,20165.90196516641,10,0
50,0.00510178052140195,0.005236430163281791,21189.64867854703,10,0
40,0.005543933054393298,0.006230743917890469,22724.26994814662,10,0
30,0.006020101015254294,0.006915893664857342,32031.21171396557,10,0
20,0.005832395375012784,0.008042090819156855,16297.18805419699,10,0
100,0.003842064526143523,0.004372624633885507,23108.60103426814,10,0
90,0.004183460027549653,0.004000566698186714,21683.87574930098,10,0
80,0.004435962242739996,0.005603120169579756,18727.10314770275,10,0
60,0.004848609893227437,0.004984850499700877,22358.00811422239,10,0
50,0.005115874558755801,0.005178855466720145,22419.00518855255,10,0
40,0.005106638630219301,0.006101408595534541,25439.58975064449,10,0
30,0.005510204081632635,0.007352313456658321,27289.80561847162,10,0
20,0.006530612244897965,0.007115028495064402,24358.05870915792,10,0
100,0.003990151587128267,0.003913409364176136,26343.3666872412,10,0
90,0.004059471253869233,0.003954535954948546,21533.43340769738,10,0
80,0.004448352557802735,0.005623110128474162,19218.87190388792,10,0
60,0.004965602855221646,0.005057419774875282,22910.94134604438,10,0
50,0.005349794238683133,0.005121888098015392,23855.52096472766,10,0
40,0.005248813969920263,0.006138920538011239,24299.45506493542,10,0
30,0.005495344222256172,0.007558798046392812,28170.99325693633,10,0
20,0.005962343096234303,0.008467435345063001,18071.40063490054,10,0
