temp,soc,c,soh
0,0.0,149.51247930624,1.0
0,0.05,477.073388169435,1.0
0,0.1,1489.96400273872,1.0
0,0.15,2502.854617308,1.0
0,0.2,3516.88581656464,1.0
0,0.25,4531.17546666299,1.0
0,0.3,5352.01006901315,1.0
0,0.35,5880.59479344536,1.0
0,0.4,6409.17951787757,1.0
0,0.45,6769.40385235567,1.0
0,0.5,7126.39616686231,1.0
0,0.55,7479.89901017385,1.0
0,0.6,7830.69947359865,1.0
0,0.65,8156.10202678075,1.0
0,0.7,8332.98280809141,1.0
0,0.75,8509.86358940208,1.0
0,0.8,8091.31040704162,1.0
0,0.85,7450.95860235664,1.0
0,0.9,6810.60679767167,1.0
0,0.95,6170.25499298669,1.0
0,1.0,5529.90318830172,1.0
10,0.0,197.995233619588,1.0
10,0.05,1520.30548979673,1.0
10,0.1,4101.16078819117,1.0
10,0.15,6603.95999401886,1.0
10,0.2,8932.31003901793,1.0
10,0.25,11017.3594380417,1.0
10,0.3,11545.4494024806,1.0
10,0.35,12073.5393669196,1.0
10,0.4,11998.196878099,1.0
10,0.45,11898.4439872119,1.0
10,0.5,12081.8593685321,1.0
10,0.55,12341.9094445186,1.0
10,0.6,12734.6218070063,1.0
10,0.65,13211.0982375843,1.0
10,0.7,13697.0258566703,1.0
10,0.75,14195.0299020275,1.0
10,0.8,14134.8759026643,1.0
10,0.85,12526.7326739401,1.0
10,0.9,10918.5894452159,1.0
10,0.95,9310.44621649165,1.0
10,1.0,7702.30298776745,1.0
20,0.0,329.501985232743,1.0
20,0.05,3886.20453837969,1.0
20,0.1,7612.96848363861,1.0
20,0.15,11660.5374403703,1.0
20,0.2,15236.7246277382,1.0
20,0.25,17644.323838668,1.0
20,0.3,19474.7163003259,1.0
20,0.35,19355.5634004475,1.0
20,0.4,19085.070609186,1.0
20,0.45,18073.9761633465,1.0
20,0.5,17148.7692483824,1.0
20,0.55,16914.6328489478,1.0
20,0.6,16771.9761982571,1.0
20,0.65,18307.5875270115,1.0
20,0.7,19843.1988557658,1.0
20,0.75,20059.7089253373,1.0
20,0.8,20266.3287063771,1.0
20,0.85,17687.9259753949,1.0
20,0.9,14911.1625729355,1.0
20,0.95,12134.3991704761,1.0
20,1.0,9357.63576801671,1.0
30,0.0,4083.28436564144,1.0
30,0.05,8469.27591324817,1.0
30,0.1,12855.2674608549,1.0
30,0.15,16335.3126104586,1.0
30,0.2,19802.4274714701,1.0
30,0.25,23340.4275859378,1.0
30,0.3,26880.490604979,1.0
30,0.35,26287.7608874102,1.0
30,0.4,25512.0900278903,1.0
30,0.45,23879.2003222203,1.0
30,0.5,22195.2176491575,1.0
30,0.55,21258.7633670801,1.0
30,0.6,20378.7694141054,1.0
30,0.65,25098.5882935986,1.0
30,0.7,30332.7427562444,1.0
30,0.75,27565.2024906821,1.0
30,0.8,23925.6282475197,1.0
30,0.85,20589.1410241325,1.0
