soc,voc,temp
0.0,24.352666666666664,10
0.05,24.475166666666667,10
0.1,24.59766666666667,10
0.15,24.819166666666668,10
0.2,25.040666666666667,10
0.25,25.210166666666666,10
0.3,25.37966666666667,10
0.35,25.48166666666667,10
0.4,25.58366666666667,10
0.45,25.706000000000003,10
0.5,25.828333333333333,10
0.55,26.017833333333336,10
0.6,26.207333333333334,10
0.65,26.55466666666667,10
0.7,26.902,10
0.75,27.216499999999996,10
0.8,27.530999999999995,10
0.85,27.87483333333333,10
0.9,28.218666666666667,10
0.95,28.333333333333332,10
1.0,28.447999999999997,10
0.0,26.06558787878788,20
0.05,26.223757575757574,20
0.1,26.144672727272727,20
0.15,26.381927272727275,20
0.2,25.98650303030303,20
0.25,25.90741818181818,20
0.3,26.302842424242424,20
0.35,26.46101212121212,20
0.4,27.251860606060607,20
0.45,26.61918181818182,20
0.5,26.69826666666667,20
0.55,26.777351515151516,20
0.6,26.540096969696968,20
0.65,26.856436363636362,20
0.7,26.935521212121213,20
0.75,27.014606060606063,20
0.8,27.09369090909091,20
0.85,27.48911515151515,20
0.9,27.410030303030304,20
0.95,27.172775757575756,20
1.0,27.330945454545457,20
0.0,24.196,25
0.05,24.445,25
0.1,24.694,25
0.15,24.8909,25
0.2,25.087799999999998,25
0.25,25.257999999999996,25
0.3,25.428199999999997,25
0.35,25.5312,25
0.4,25.6342,25
0.45,25.7584,25
0.5,25.882600000000004,25
0.55,26.0816,25
0.6,26.2806,25
0.65,26.622999999999998,25
0.7,26.9654,25
0.75,27.2668,25
0.8,27.5682,25
0.85,27.906,25
0.9,28.2438,25
0.95,28.364800000000002,25
1.0,28.4858,25
0.0,28.38033376623377,30
0.05,28.372566883116885,30
0.1,28.37947077922078,30
0.15,28.37860779220779,30
0.2,28.377744805194805,30
0.25,28.37688181818182,30
0.3,28.37601883116883,30
0.35,28.375155844155845,30
0.4,28.37429285714286,30
0.45,28.373429870129872,30
0.5,28.381196753246755,30
0.55,28.3717038961039,30
0.6,28.370840909090912,30
0.65,28.369977922077926,30
0.7,28.369114935064935,30
0.75,28.36825194805195,30
0.8,28.367388961038962,30
0.85,28.366525974025976,30
0.9,28.36566298701299,30
0.95,28.382922727272728,30
1.0,28.38205974025974,30
0.0,24.201333333333334,40
0.05,24.436,40
0.1,24.670666666666666,40
0.15,24.869,40
0.2,25.067333333333334,40
0.25,25.248833333333334,40
0.3,25.430333333333333,40
0.35,25.5425,40
0.4,25.654666666666667,40
0.45,25.781333333333336,40
0.5,25.908,40
0.55,26.107333333333337,40
0.6,26.30666666666667,40
0.65,26.645333333333333,40
0.7,26.983999999999998,40
0.75,27.2855,40
0.8,27.587,40
0.85,27.923166666666667,40
0.9,28.259333333333334,40
0.95,28.383785714285715,40
1.0,28.5082380952381,40
