,temp,soc,voc
0,0,0.0,24.9263
1,0,0.05,25.07448523216805
2,0,0.1,25.20338634219294
3,0,0.15,25.33228745221776
4,0,0.2,25.433310039229468
5,0,0.25,25.52801549098696
6,0,0.3,25.62698618811597
7,0,0.35,25.73240033272083
8,0,0.4,25.83781447732576
9,0,0.45,25.99036715712269
10,0,0.5,26.143824756938
11,0,0.55,26.34346504388389
12,0,0.6,26.57887096918592
13,0,0.65,26.82358103287051
14,0,0.7,27.12269979022709
15,0,0.75,27.421818547583598
16,0,0.8,27.71146868926779
17,0,0.85,27.997591780028433
18,0,0.9,28.299596315687268
19,0,0.95,28.63671031357465
20,0,1.0,28.973824311462028
21,10,0.0,24.5623
22,10,0.05,24.75449522985796
23,10,0.1,24.95670124470551
24,10,0.15,25.14139015580157
25,10,0.2,25.28692973275721
26,10,0.25,25.4263767447284
27,10,0.3,25.52683546509257
28,10,0.35,25.627294185456808
29,10,0.4,25.7388894829136
30,10,0.45,25.85093528369184
31,10,0.5,26.010370049765502
32,10,0.55,26.18262983630371
33,10,0.6,26.41450114984338
34,10,0.65,26.684011675991318
35,10,0.7,26.98023535308871
36,10,0.75,27.31059223974438
37,10,0.8,27.63531627340057
38,10,0.85,27.94441821604454
39,10,0.9,28.258888333107876
40,10,0.95,28.62699823370324
41,10,1.0,28.995108134298597
42,20,0.0,24.2494
43,20,0.05,24.50466919527949
44,20,0.1,24.744642847091438
45,20,0.15,24.955762877651267
46,20,0.2,25.15320291276058
47,20,0.25,25.31672929392705
48,20,0.3,25.466434390906393
49,20,0.35,25.56945739258533
50,20,0.4,25.67478450255775
51,20,0.45,25.79138706937695
52,20,0.5,25.91501962813015
53,20,0.55,26.0952170933426
54,20,0.6,26.28140542663538
55,20,0.65,26.57750094929328
56,20,0.7,26.87359647195118
57,20,0.75,27.21289575169431
58,20,0.8,27.55251896231107
59,20,0.85,27.87818498114594
60,20,0.9,28.20285691181035
61,20,0.95,28.577179816894027
62,20,1.0,28.95862751427359
63,30,0.0,23.760099999999998
64,30,0.05,24.2122685773549
65,30,0.1,24.66443715470987
66,30,0.15,24.88015357164575
67,30,0.2,25.09249518111049
68,30,0.25,25.268372994071832
69,30,0.3,25.44318963663596
70,30,0.35,25.55744704676471
71,30,0.4,25.66902375746247
72,30,0.45,25.78715493090408
73,30,0.5,25.9056767711546
74,30,0.55,26.08366718011698
75,30,0.6,26.26614921107149
76,30,0.65,26.57625074838657
77,30,0.7,26.89807397269188
78,30,0.75,27.22615044487772
79,30,0.8,27.554908403274702
80,30,0.85,27.88612934397255
81,30,0.9,28.217662553869392
82,30,0.95,28.59440919734371
83,30,1.0,28.977721247004528
84,40,0.0,22.2418
85,40,0.05,23.90222389651817
86,40,0.1,24.36752665978141
87,40,0.15,24.74700227880237
88,40,0.2,24.961499590313792
89,40,0.25,25.1617005322984
90,40,0.3,25.33990618385989
91,40,0.35,25.49794522551591
92,40,0.4,25.63089560953551
93,40,0.45,25.75865395519591
94,40,0.5,25.88116858254151
95,40,0.55,26.039210359792
96,40,0.6,26.226415651250573
97,40,0.65,26.50236672072318
98,40,0.7,26.83722167489174
99,40,0.75,27.17185379255263
100,40,0.8,27.50636736571955
101,40,0.85,27.84543238568441
102,40,0.9,28.186406051630332
103,40,0.95,28.5659840133423
104,40,1.0,28.95800104311814
