soc,c,temp,soh
90,8732.954163380206,25,0.8
100,9069.318065565578,25,0.8
0,5811.382741095092,25,0.8
10,11404.450799023387,25,0.8
20,12600.929524604642,25,0.8
30,14661.237120445476,25,0.8
40,12066.767912278934,25,0.8
50,12601.899944872162,25,0.8
60,16568.821136888477,25,0.8
70,14557.128580892791,25,0.8
80,9990.085207007225,25,0.8
90,10479.544996056247,25,0.8
100,10883.181678678691,25,0.8
0,6779.946531277607,25,0.8
10,13305.19259886062,25,0.8
20,14701.084445372086,25,0.8
30,17104.776640519725,25,0.8
40,14077.895897658758,25,0.8
50,14702.216602350858,25,0.8
60,19330.291326369894,25,0.8
70,16983.31667770826,25,0.8
80,11655.0994081751,25,0.8
90,12226.135828732291,25,0.8
100,12697.045291791808,25,0.8
0,7748.510321460123,25,0.8
10,15205.934398697853,25,0.8
20,16801.239366139525,25,0.8
30,19548.316160593968,25,0.8
40,16089.023883038582,25,0.8
50,16802.533259829554,25,0.8
60,22091.761515851307,25,0.8
70,19409.504774523728,25,0.8
80,13320.113609342969,25,0.8
90,13972.726661408331,25,0.8
100,14510.908904904925,25,0.8
0,2905.6913705475454,25,0.7
10,5702.2253995116935,25,0.7
20,6300.464762302321,25,0.7
30,7330.618560222736,25,0.7
40,6033.383956139467,25,0.7
50,6300.949972436081,25,0.7
60,8284.410568444237,25,0.7
70,7278.564290446397,25,0.7
80,4995.042603503613,25,0.7
90,5239.772498028123,25,0.7
100,5441.590839339346,25,0.7
0,3632.1142131844317,25,0.7
10,7127.7817493896155,25,0.7
20,7875.5809528779,25,0.7
30,9163.273200278421,25,0.7
40,7541.729945174332,25,0.7
50,7876.1874655451,25,0.7
60,10355.513210555298,25,0.7
70,9098.205363057994,25,0.7
80,6243.803254379514,25,0.7
90,6549.715622535154,25,0.7
100,6801.988549174181,25,0.7
0,4358.537055821318,25,0.7
10,8553.338099267537,25,0.7
20,9450.697143453479,25,0.7
30,10995.927840334105,25,0.7
40,9050.075934209199,25,0.7
50,9451.42495865412,25,0.7
60,12426.615852666357,25,0.7
70,10917.846435669591,25,0.7
80,7492.563905255417,25,0.7
90,7859.658747042184,25,0.7
100,8162.386259009017,25,0.7
0,5084.959898458204,25,0.7
10,9978.894449145462,25,0.7
20,11025.813334029062,25,0.7
30,12828.582480389789,25,0.7
40,10558.421923244066,25,0.7
50,11026.66245176314,25,0.7
60,14497.718494777417,25,0.7
70,12737.487508281192,25,0.7
80,8741.324556131323,25,0.7
90,9169.601871549217,25,0.7
100,9522.783968843854,25,0.7
0,5811.382741095091,25,0.7
10,11404.450799023387,25,0.7
20,12600.929524604642,25,0.7
30,14661.237120445472,25,0.7
40,12066.767912278934,25,0.7
50,12601.899944872162,25,0.7
60,16568.821136888473,25,0.7
70,14557.128580892793,25,0.7
80,9990.085207007225,25,0.7
90,10479.544996056246,25,0.7
100,10883.181678678691,25,0.7
0,1937.1275803650306,25,0.6
10,3801.4835996744623,25,0.6
20,4200.30984153488,25,0.6
30,4887.079040148491,25,0.6
40,4022.2559707596447,25,0.6
50,4200.6333149573875,25,0.6
60,5522.940378962826,25,0.6
70,4852.376193630931,25,0.6
80,3330.0284023357417,25,0.6
90,3493.1816653520823,25,0.6
100,3627.7272262262304,25,0.6
0,2421.409475456288,25,0.6
10,4751.854499593078,25,0.6
20,5250.3873019186,25,0.6
30,6108.848800185614,25,0.6
40,5027.819963449555,25,0.6
50,5250.791643696734,25,0.6
60,6903.675473703533,25,0.6
70,6065.470242038663,25,0.6
80,4162.535502919677,25,0.6
90,4366.477081690103,25,0.6
100,4534.659032782788,25,0.6
0,2905.6913705475454,25,0.6
10,5702.225399511693,25,0.6
20,6300.46476230232,25,0.6
30,7330.618560222737,25,0.6
40,6033.383956139466,25,0.6
50,6300.94997243608,25,0.6
60,8284.410568444238,25,0.6
70,7278.564290446396,25,0.6
80,4995.042603503612,25,0.6
90,5239.772498028123,25,0.6
100,5441.590839339345,25,0.6
0,3389.9732656388037,25,0.6
10,6652.596299430309,25,0.6
20,7350.542222686042,25,0.6
30,8552.38832025986,25,0.6
40,7038.947948829379,25,0.6
50,7351.108301175428,25,0.6
60,9665.145663184945,25,0.6
70,8491.65833885413,25,0.6
80,5827.549704087549,25,0.6
90,6113.067914366145,25,0.6
100,6348.522645895903,25,0.6
0,3874.255160730061,25,0.6
10,7602.967199348925,25,0.6
20,8400.61968306976,25,0.6
30,9774.158080296982,25,0.6
40,8044.511941519289,25,0.6
50,8401.266629914775,25,0.6
60,11045.880757925652,25,0.6
70,9704.752387261862,25,0.6
80,6660.056804671483,25,0.6
90,6986.363330704165,25,0.6
100,7255.454452452461,25,0.6
0,118.47037418438153,10,1.0
10,1891.0874874916947,10,1.0
20,7112.868885701509,10,1.0
30,10740.223798936828,10,1.0
40,8286.034486428378,10,1.0
50,7584.867877238287,10,1.0
60,7517.162894345649,10,1.0
70,14563.50858827408,10,1.0
80,6844.294036646465,10,1.0
90,7190.12616954179,10,1.0
100,8024.440682099761,10,1.0
0,148.08796773047692,10,1.0
10,2363.8593593646183,10,1.0
20,8891.086107126885,10,1.0
30,13425.279748671033,10,1.0
40,10357.543108035472,10,1.0
50,9481.08484654786,10,1.0
60,9396.45361793206,10,1.0
70,18204.3857353426,10,1.0
80,8555.367545808082,10,1.0
90,8987.657711927237,10,1.0
100,10030.5508526247,10,1.0
0,177.70556127657227,10,1.0
10,2836.6312312375417,10,1.0
20,10669.303328552262,10,1.0
30,16110.33569840524,10,1.0
40,12429.051729642566,10,1.0
50,11377.30181585743,10,1.0
60,11275.744341518472,10,1.0
70,21845.26288241112,10,1.0
80,10266.441054969697,10,1.0
90,10785.189254312683,10,1.0
100,12036.66102314964,10,1.0
0,207.32315482266768,10,1.0
10,3309.403103110466,10,1.0
20,12447.52054997764,10,1.0
30,18795.391648139448,10,1.0
40,14500.560351249662,10,1.0
50,13273.518785167003,10,1.0
60,13155.035065104887,10,1.0
70,25486.14002947964,10,1.0
80,11977.514564131316,10,1.0
90,12582.720796698133,10,1.0
100,14042.771193674582,10,1.0
0,236.94074836876305,10,1.0
10,3782.1749749833893,10,1.0
20,14225.737771403017,10,1.0
30,21480.447597873655,10,1.0
40,16572.068972856756,10,1.0
50,15169.735754476575,10,1.0
60,15034.325788691298,10,1.0
70,29127.01717654816,10,1.0
80,13688.58807329293,10,1.0
90,14380.25233908358,10,1.0
100,16048.881364199522,10,1.0
0,98.72531182031794,10,0.9
10,1575.9062395764124,10,0.9
20,5927.390738084591,10,0.9
30,8950.186499114023,10,0.9
40,6905.028738690315,10,0.9
50,6320.723231031907,10,0.9
60,6264.302411954708,10,0.9
70,12136.257156895068,10,0.9
80,5703.578363872055,10,0.9
90,5991.771807951492,10,0.9
100,6687.033901749801,10,0.9
0,123.40663977539745,10,0.9
10,1969.8827994705155,10,0.9
20,7409.238422605738,10,0.9
30,11187.733123892527,10,0.9
40,8631.285923362895,10,0.9
50,7900.904038789884,10,0.9
60,7830.378014943384,10,0.9
70,15170.321446118835,10,0.9
80,7129.472954840068,10,0.9
90,7489.714759939365,10,0.9
100,8358.79237718725,10,0.9
0,148.08796773047692,10,0.9
10,2363.8593593646183,10,0.9
20,8891.086107126885,10,0.9
30,13425.279748671033,10,0.9
