Temp,Soc,C_1,R_0,R_1
15,0,9362.838793050241,0.01617728557178791,0.016431769994962042
15,10,9691.18292938675,0.01662324414589764,0.019499014299885875
15,20,12052.351794258395,0.01742012931646937,0.023310425485240094
15,30,9306.629722651911,0.018661810352412912,0.024055498922687015
15,40,5139.2364878699,0.0245876687872006,0.035098123278562175
15,50,2142.033749898281,0.02511647379964845,0.10885906230933652
20,0,11140.809708862193,0.0135946160472031,0.014089348309855197
20,10,11096.331372345121,0.014090199789510066,0.016753274816278276
20,20,13364.479789579962,0.014450485107235312,0.01996255947801538
20,30,11500.390559602316,0.015292146143477849,0.019551237451862248
20,40,8387.385488248105,0.01832060884376747,0.025878459774373225
20,50,4165.59712561218,0.020243514479428012,0.07027397399950461
40,50,14808.43219271184,0.007818930041152316,0.00859053497942395
40,40,13999.40059975458,0.008163265306122455,0.01005102040816322
40,30,17149.06868166847,0.00846414281317324,0.01195239560890533
40,20,16565.03398071957,0.008097165991902843,0.00926113360323886
40,10,10131.78311419733,0.008771929824561372,0.008618036318867307
40,0,33223.97307683689,0.008913898710223696,0.01732981425227822
40,50,14402.79034296434,0.007695070025137338,0.00851587749448522
40,40,12892.54404704449,0.007857142857142854,0.01051020408163263
40,30,20815.01163300932,0.008293477154777667,0.01190597333876065
40,20,15822.87628461526,0.00814125069963874,0.009209789853966364
40,10,41591.06900628523,0.008603238866396848,0.01062753036437233
40,0,29718.91555059472,0.009992934288886667,0.01604925810033317
40,50,16314.78143470547,0.007974159685071225,0.008125567780357392
40,40,12706.86561424581,0.008046629184505204,0.01036777221849678
40,30,17015.37689209756,0.0083956647840024,0.01144863379636704
40,20,21809.0998353524,0.008143153526970955,0.01001037344398347
40,10,20471.17380239939,0.008696986749884979,0.00972016166163594
40,0,31424.05111091787,0.009467022333803933,0.01757414090695131
