Temp,Soc,C_1,R_0,R_1
15,0,9362.838793050241,0.01617728557178791,0.016431769994962042
15,10,9691.18292938675,0.01662324414589764,0.019499014299885875
15,20,12052.351794258395,0.01742012931646937,0.023310425485240094
15,30,9306.629722651911,0.018661810352412912,0.024055498922687015
15,40,5139.2364878699,0.0245876687872006,0.035098123278562175
15,50,2142.033749898281,0.02511647379964845,0.10885906230933652
20,0,11140.809708862193,0.0135946160472031,0.014089348309855197
20,10,11096.331372345121,0.014090199789510066,0.016753274816278276
20,20,13364.479789579962,0.014450485107235312,0.01996255947801538
20,30,11500.390559602316,0.015292146143477849,0.019551237451862248
20,40,8387.385488248105,0.01832060884376747,0.025878459774373225
20,50,4165.59712561218,0.020243514479428012,0.07027397399950461
10,50,7095.52212613092,0.01841742768226114,0.01892760573440123
10,40,7656.756463380871,0.01971757322175726,0.02275104602510472
10,30,11620.7649586029,0.02147849599510225,0.02540686699658186
10,20,5779.820301468298,0.02097615880487057,0.02921313823800274
10,10,976.4667780887896,0.02334051503026564,0.05088745254950246
10,0,105.9728424279945,0.02361111111111109,0.1532407407407407
10,50,7486.048947631594,0.01826367217475824,0.01908221210415926
10,40,8877.164841613714,0.0187243416441375,0.02197857214378693
10,30,9939.871484623014,0.01969387755102037,0.02688775510204087
10,20,8637.570998076166,0.02362244897959189,0.02576530612244893
10,10,2208.704413880831,0.03465576992706761,0.04075932343661098
10,0,103.5446603318315,0.02290816326530621,0.1535204081632653
10,50,8173.032557952348,0.01959876543209878,0.01831275720164618
10,40,8324.18215429055,0.01902695064096088,0.02200464318158877
10,30,10660.03495358457,0.01999694703098767,0.02768025237877171
10,20,6921.215357560062,0.02149581589958147,0.03070083682008367
10,10,2488.091270505464,0.03456790123456793,0.04130658436213996
10,0,145.8936197933186,0.04344902498318936,0.1355713029534993
25,50,10559.43753027235,0.01118364455240102,0.0114366681848086
25,40,11751.82587775115,0.01153061224489791,0.01438775510204082
25,30,14245.6387077382,0.0111635459481402,0.0172020094382706
25,20,11457.56581336017,0.01186361995151393,0.01506163924279146
25,10,11305.34809853696,0.01216311698798827,0.01660442111638239
25,0,6595.567505665923,0.01504932554862087,0.04107106905576801
25,50,14638.52002527817,0.01115260653808768,0.01166419399396317
25,40,12860.05054195408,0.01148295660270011,0.01375885791134321
25,30,14611.72271440078,0.01156949307352725,0.01639011518749667
25,20,14132.85345291803,0.01159390550454023,0.01539014005027431
25,10,12366.29464419101,0.01200773379464743,0.01684135544927239
25,0,7052.525698015649,0.01675582921166837,0.02472998889673978
25,50,13558.38431847192,0.01069958847736617,0.01213991769547328
25,40,12892.56302620525,0.01165789745176946,0.013875992984628
25,30,15172.46193256561,0.01170948367233631,0.01625195578660471
25,20,15492.03492337996,0.0123099203475742,0.01468914865004668
25,10,11234.96072315096,0.01198979591836732,0.01653061224489804
25,0,4919.388300296669,0.01430651071733348,0.02926559911651032
25,50,12899.3896637417,0.0109812256464755,0.01108243509943817
25,40,11804.6567644375,0.01132778151347443,0.01417265814927848
25,30,15409.78405283123,0.01178571428571419,0.01632653061224491
25,20,11321.89390753446,0.01231055707857048,0.01365540785185948
25,10,10972.8205531451,0.01206217825779738,0.01650348238619167
25,0,5388.818987273743,0.02068503043433404,0.03394202001444348
25,50,11353.76818659667,0.01091398127553916,0.01179330678115148
25,40,11024.74335104669,0.01124464847578274,0.01403002011657288
25,30,13866.57819469156,0.01148295660270011,0.01691408472559863
25,20,10600.29952583059,0.01163265306122457,0.01392857142857141
25,10,11142.8299760929,0.01351971838171525,0.0146421100964236
25,0,5100.613214223475,0.02237521514629941,0.03849162885307462
