Temp,Soc,C_1,R_0,R_1,Cluster
15,0,9362.83879305024,0.0161772855717879,0.016431769994962,3
15,10,9691.18292938675,0.0166232441458976,0.0194990142998858,3
15,20,12052.351794258397,0.0174201293164693,0.02331042548524,3
15,30,9306.629722651913,0.0186618103524129,0.024055498922687,3
15,40,5139.2364878699,0.0245876687872006,0.0350981232785621,3
20,10,11096.33137234512,0.01409019978951,0.0167532748162782,3
20,30,11500.390559602316,0.0152921461434778,0.0195512374518622,3
20,40,8387.385488248105,0.0183206088437674,0.0258784597743732,3
20,50,4165.59712561218,0.020243514479428,0.0702739739995046,3
10,50,7095.52212613092,0.0184174276822611,0.0189276057344012,3
10,40,7656.756463380871,0.0197175732217572,0.0227510460251047,3
10,30,11620.7649586029,0.0214784959951022,0.0254068669965818,3
10,20,5779.820301468298,0.0209761588048705,0.0292131382380027,3
10,10,976.4667780887896,0.0233405150302656,0.0508874525495024,3
10,50,7486.048947631594,0.0182636721747582,0.0190822121041592,3
10,40,8877.164841613714,0.0187243416441375,0.0219785721437869,3
10,30,9939.871484623014,0.0196938775510203,0.0268877551020408,3
10,20,8637.570998076166,0.0236224489795918,0.0257653061224489,3
10,10,2208.704413880831,0.0346557699270676,0.0407593234366109,3
10,50,8173.032557952348,0.0195987654320987,0.0183127572016461,3
10,40,8324.18215429055,0.0190269506409608,0.0220046431815887,3
10,30,10660.03495358457,0.0199969470309876,0.0276802523787717,3
10,20,6921.215357560062,0.0214958158995814,0.0307008368200836,3
10,10,2488.091270505464,0.0345679012345679,0.0413065843621399,3
25,0,6595.567505665923,0.0150493255486208,0.041071069055768,3
25,0,7052.525698015649,0.0167558292116683,0.0247299888967397,3
25,0,4919.388300296669,0.0143065107173334,0.0292655991165103,3
25,0,5388.818987273743,0.020685030434334,0.0339420200144434,3
25,0,5100.613214223475,0.0223752151462994,0.0384916288530746,3
15,50,9655.887329624557,0.0136122299786008,0.0143830973464391,3
15,60,8960.57738479569,0.0141494577016375,0.0142642701213438,3
15,70,9455.06528606482,0.0148676086503937,0.0189941127284028,3
15,80,14273.722857700292,0.0156732541091765,0.0214013908879676,3
15,90,8889.953425772535,0.0158576790891117,0.0176798666915283,3
15,100,7119.632085267552,0.0176301551173176,0.0230790896832701,3
20,100,6654.396293296816,0.0165003551382626,0.0273839876864714,3
10,100,7984.697945588246,0.0149785177362422,0.0161935311333447,3
10,90,6772.833481756025,0.0158592111321431,0.0149895124571545,3
10,80,7539.511294063922,0.0172448979591837,0.0196938775510203,3
10,70,14975.66720186269,0.0172796203641616,0.0248104399855572,3
10,60,7129.969786763151,0.0177934102312107,0.0182589354988879,3
10,50,7095.52212613092,0.0184174276822611,0.0189276057344012,3
10,100,7893.720081515012,0.0148655557352677,0.0158003475805077,3
10,90,7479.917561069418,0.0153053415642059,0.0142339676547114,3
10,80,6663.748162106091,0.016196420281632,0.0203744777428173,3
10,70,13162.32214616349,0.0173598363664972,0.0251219384276498,3
10,60,7777.38935854191,0.017640687058338,0.0180533347088253,3
10,50,7486.048947631594,0.0182636721747582,0.0190822121041592,3
10,100,8194.904019196027,0.0148930416482665,0.015109669408001,3
10,90,7317.627465799926,0.015172273811336,0.0139544324351754,3
10,80,6329.622653769385,0.0162416593389541,0.0204831117777891,3
10,70,15552.53641679606,0.0180064638588212,0.023803416611091,3
10,60,7644.129537731885,0.0178451352609527,0.0182589354988879,3
10,50,8173.032557952348,0.0195987654320987,0.0183127572016461,3
