Temp,Soc,C_1,R_0,R_1
30,0,13670.965302047392,0.009951093209674513,0.010634837778084072
30,10,12734.187683651757,0.01037888554961172,0.012774912078257409
30,20,15893.233768464946,0.010448703348884536,0.014999462618752998
30,30,15151.32427555595,0.010657384647307694,0.013195905865268177
30,40,15778.581428293312,0.010932605426983247,0.014324278440664579
30,50,14611.322527367329,0.013399687365351081,0.026787391933066545
35,0,14423.149979420637,0.008890239896730738,0.009522748931419796
35,10,12966.895552000025,0.009200615666100946,0.011542288823844143
35,20,17109.859752028366,0.009416565799767818,0.013384231766715335
35,30,16608.49715455918,0.009392287360072603,0.01134483574949887
35,40,19921.62836796031,0.009811661953632157,0.011989760611144887
35,50,23033.484553408576,0.01142881957149459,0.02188589817646039
40,50,14808.43219271184,0.007818930041152316,0.00859053497942395
40,40,13999.40059975458,0.008163265306122455,0.01005102040816322
40,30,17149.06868166847,0.00846414281317324,0.01195239560890533
40,20,16565.03398071957,0.008097165991902843,0.00926113360323886
40,10,10131.78311419733,0.008771929824561372,0.008618036318867307
40,0,33223.97307683689,0.008913898710223696,0.01732981425227822
40,50,14402.79034296434,0.007695070025137338,0.00851587749448522
40,40,12892.54404704449,0.007857142857142854,0.01051020408163263
40,30,20815.01163300932,0.008293477154777667,0.01190597333876065
40,20,15822.87628461526,0.00814125069963874,0.009209789853966364
40,10,41591.06900628523,0.008603238866396848,0.01062753036437233
40,0,29718.91555059472,0.009992934288886667,0.01604925810033317
40,50,16314.78143470547,0.007974159685071225,0.008125567780357392
40,40,12706.86561424581,0.008046629184505204,0.01036777221849678
40,30,17015.37689209756,0.0083956647840024,0.01144863379636704
40,20,21809.0998353524,0.008143153526970955,0.01001037344398347
40,10,20471.17380239939,0.008696986749884979,0.00972016166163594
40,0,31424.05111091787,0.009467022333803933,0.01757414090695131
